"Country" "Voter" "Points"
"Netherlands" "al" "14"
"North Macedonia" "al" "20"
"Sweden" "al" "11"
"Switzerland" "al" "11"
"Azerbaijan" "al" "17"
"Russia" "al" "10"
"Norway" "al" "12"
"Malta" "al" "6"
"Albania" "al" ""
"Denmark" "al" "1"
"Lithuania" "al" "5"
"Moldova" "al" "3"
"Romania" "al" ""
"Croatia" "al" "5"
"Latvia" "al" ""
"Armenia" "al" ""
"Austria" "al" "1"
"Ireland" "al" ""
"Netherlands" "am" "14"
"North Macedonia" "am" "14"
"Sweden" "am" "16"
"Switzerland" "am" "14"
"Azerbaijan" "am" ""
"Russia" "am" "19"
"Norway" "am" "6"
"Malta" "am" "17"
"Albania" "am" ""
"Denmark" "am" "1"
"Lithuania" "am" ""
"Moldova" "am" "8"
"Romania" "am" "2"
"Croatia" "am" "2"
"Latvia" "am" "3"
"Armenia" "am" ""
"Austria" "am" ""
"Ireland" "am" ""
"Netherlands" "at" "16"
"North Macedonia" "at" "13"
"Sweden" "at" "13"
"Switzerland" "at" "19"
"Azerbaijan" "at" "13"
"Russia" "at" "4"
"Norway" "at" "13"
"Malta" "at" "2"
"Albania" "at" "3"
"Denmark" "at" "6"
"Lithuania" "at" ""
"Moldova" "at" ""
"Romania" "at" ""
"Croatia" "at" "13"
"Latvia" "at" ""
"Armenia" "at" "1"
"Austria" "at" ""
"Ireland" "at" ""
"Netherlands" "az" "12"
"North Macedonia" "az" "17"
"Sweden" "az" "3"
"Switzerland" "az" "12"
"Azerbaijan" "az" ""
"Russia" "az" "24"
"Norway" "az" "5"
"Malta" "az" "12"
"Albania" "az" "11"
"Denmark" "az" ""
"Lithuania" "az" "3"
"Moldova" "az" "3"
"Romania" "az" "8"
"Croatia" "az" "1"
"Latvia" "az" "5"
"Armenia" "az" ""
"Austria" "az" ""
"Ireland" "az" ""
"Netherlands" "hr" "15"
"North Macedonia" "hr" "24"
"Sweden" "hr" "8"
"Switzerland" "hr" "18"
"Azerbaijan" "hr" "12"
"Russia" "hr" "6"
"Norway" "hr" "10"
"Malta" "hr" "8"
"Albania" "hr" "11"
"Denmark" "hr" "1"
"Lithuania" "hr" ""
"Moldova" "hr" "2"
"Romania" "hr" ""
"Croatia" "hr" ""
"Latvia" "hr" ""
"Armenia" "hr" "1"
"Austria" "hr" ""
"Ireland" "hr" ""
"Netherlands" "dk" "15"
"North Macedonia" "dk" "11"
"Sweden" "dk" "22"
"Switzerland" "dk" "10"
"Azerbaijan" "dk" "8"
"Russia" "dk" "6"
"Norway" "dk" "20"
"Malta" "dk" "5"
"Albania" "dk" ""
"Denmark" "dk" ""
"Lithuania" "dk" "4"
"Moldova" "dk" "2"
"Romania" "dk" ""
"Croatia" "dk" "5"
"Latvia" "dk" "6"
"Armenia" "dk" ""
"Austria" "dk" "2"
"Ireland" "dk" ""
"Netherlands" "de" "18"
"North Macedonia" "de" "18"
"Sweden" "de" "12"
"Switzerland" "de" "20"
"Azerbaijan" "de" "7"
"Russia" "de" "7"
"Norway" "de" "12"
"Malta" "de" "6"
"Albania" "de" "2"
"Denmark" "de" "5"
"Lithuania" "de" "1"
"Moldova" "de" ""
"Romania" "de" "4"
"Croatia" "de" "3"
"Latvia" "de" ""
"Armenia" "de" ""
"Austria" "de" "1"
"Ireland" "de" ""
"Netherlands" "ie" "16"
"North Macedonia" "ie" "6"
"Sweden" "ie" "17"
"Switzerland" "ie" "16"
