"Country" "Voter" "Points"
"Denmark" "at" "12"
"Russia" "at" "10"
"Ukraine" "at" "2"
"Moldova" "at" "7"
"Belgium" "at" "4"
"Netherlands" "at" "8"
"Belarus" "at" ""
"Ireland" "at" ""
"Lithuania" "at" ""
"Estonia" "at" "3"
"Serbia" "at" "6"
"Montenegro" "at" ""
"Croatia" "at" "5"
"Austria" "at" ""
"Cyprus" "at" "1"
"Slovenia" "at" ""
"Denmark" "by" "8"
"Russia" "by" "10"
"Ukraine" "by" "12"
"Moldova" "by" "6"
"Belgium" "by" "3"
"Netherlands" "by" ""
"Belarus" "by" ""
"Ireland" "by" "4"
"Lithuania" "by" "7"
"Estonia" "by" "5"
"Serbia" "by" "1"
"Montenegro" "by" "2"
"Croatia" "by" ""
"Austria" "by" ""
"Cyprus" "by" ""
"Slovenia" "by" ""
"Denmark" "be" "10"
"Russia" "be" "7"
"Ukraine" "be" "8"
"Moldova" "be" "5"
"Belgium" "be" ""
"Netherlands" "be" "12"
"Belarus" "be" ""
"Ireland" "be" "4"
"Lithuania" "be" "6"
"Estonia" "be" "1"
"Serbia" "be" ""
"Montenegro" "be" ""
"Croatia" "be" ""
"Austria" "be" "3"
"Cyprus" "be" "2"
"Slovenia" "be" ""
"Denmark" "hr" "12"
"Russia" "hr" "8"
"Ukraine" "hr" "7"
"Moldova" "hr" "1"
"Belgium" "hr" "3"
"Netherlands" "hr" ""
"Belarus" "hr" ""
"Ireland" "hr" "2"
"Lithuania" "hr" ""
"Estonia" "hr" ""
"Serbia" "hr" "10"
"Montenegro" "hr" "6"
"Croatia" "hr" ""
"Austria" "hr" "4"
"Cyprus" "hr" ""
"Slovenia" "hr" "5"
"Denmark" "cy" "8"
"Russia" "cy" "10"
"Ukraine" "cy" "12"
"Moldova" "cy" "5"
"Belgium" "cy" ""
"Netherlands" "cy" ""
"Belarus" "cy" "6"
"Ireland" "cy" "7"
"Lithuania" "cy" "3"
"Estonia" "cy" ""
"Serbia" "cy" "4"
"Montenegro" "cy" ""
"Croatia" "cy" "1"
"Austria" "cy" "2"
"Cyprus" "cy" ""
"Slovenia" "cy" ""
"Denmark" "dk" ""
"Russia" "dk" "12"
"Ukraine" "dk" "8"
"Moldova" "dk" "6"
"Belgium" "dk" "7"
"Netherlands" "dk" "10"
"Belarus" "dk" ""
"Ireland" "dk" "3"
"Lithuania" "dk" "2"
"Estonia" "dk" "1"
"Serbia" "dk" ""
"Montenegro" "dk" "5"
"Croatia" "dk" ""
"Austria" "dk" "4"
"Cyprus" "dk" ""
"Slovenia" "dk" ""
"Denmark" "ee" "12"
"Russia" "ee" "10"
"Ukraine" "ee" "6"
"Moldova" "ee" "3"
"Belgium" "ee" "8"
"Netherlands" "ee" "7"
"Belarus" "ee" ""
"Ireland" "ee" "5"
"Lithuania" "ee" "4"
"Estonia" "ee" ""
"Serbia" "ee" ""
"Montenegro" "ee" ""
"Croatia" "ee" ""
"Austria" "ee" "1"
"Cyprus" "ee" "2"
"Slovenia" "ee" ""
"Denmark" "ie" "12"
"Russia" "ie" "10"
"Ukraine" "ie" "2"
"Moldova" "ie" ""
"Belgium" "ie" "7"
"Netherlands" "ie" "5"
"Belarus" "ie" "3"
"Ireland" "ie" ""
"Lithuania" "ie" "6"
"Estonia" "ie" "8"
"Serbia" "ie" ""
"Montenegro" "ie" ""
"Croatia" "ie" "1"
"Austria" "ie" "4"
"Cyprus" "ie" ""
"Slovenia" "ie" ""
"Denmark" "it" "6"
"Russia" "it" "4"
"Ukraine" "it" "12"
"Moldova" "it" "8"
"Belgium" "it" ""
"Netherlands" "it" "1"
"Belarus" "it" "7"
"Ireland" "it" ""
"Lithuania" "it" "10"
"Estonia" "it" "5"
"Serbia" "it" "3"
"Montenegro" "it" ""
"Croatia" "it" ""
"Austria" "it" "2"
"Cyprus" "it" ""
"Slovenia" "it" ""
"Denmark" "lt" "6"
"Russia" "lt" "10"
"Ukraine" "lt" "12"
"Moldova" "lt" "3"
"Belgium" "lt" "2"
"Netherlands" "lt" "7"
"Belarus" "lt" "8"
"Ireland" "lt" "5"
"Lithuania" "lt" ""
"Estonia" "lt" "4"
"Serbia" "lt" ""
"Montenegro" "lt" ""
"Croatia" "lt" "1"
"Austria" "lt" ""
"Cyprus" "lt" ""
"Slovenia" "lt" ""
"Denmark" "md" "7"
"Russia" "md" "8"
"Ukraine" "md" "12"
"Moldova" "md" ""
"Belgium" "md" "4"
"Netherlands" "md" ""
"Belarus" "md" "10"
"Ireland" "md" "1"
"Lithuania" "md" "2"
"Estonia" "md" "5"
"Serbia" "md" ""
"Montenegro" "md" "6"
"Croatia" "md" ""
"Austria" "md" "3"
"Cyprus" "md" ""
"Slovenia" "md" ""
"Denmark" "me" "8"
"Russia" "me" "7"
"Ukraine" "me" "12"
"Moldova" "me" "4"
"Belgium" "me" "1"
"Netherlands" "me" "2"
"Belarus" "me" "6"
"Ireland" "me" ""
"Lithuania" "me" ""
"Estonia" "me" ""
"Serbia" "me" "10"
"Montenegro" "me" ""
"Croatia" "me" "5"
"Austria" "me" ""
"Cyprus" "me" ""
"Slovenia" "me" "3"
"Denmark" "nl" "12"
"Russia" "nl" "7"
"Ukraine" "nl" "8"
"Moldova" "nl" "6"
"Belgium" "nl" "10"
"Netherlands" "nl" ""
"Belarus" "nl" "2"
"Ireland" "nl" "5"
"Lithuania" "nl" ""
"Estonia" "nl" "4"
"Serbia" "nl" "1"
"Montenegro" "nl" ""
"Croatia" "nl" "3"
"Austria" "nl" ""
"Cyprus" "nl" ""
"Slovenia" "nl" ""
"Denmark" "ru" "10"
"Russia" "ru" ""
"Ukraine" "ru" "7"
"Moldova" "ru" "12"
"Belgium" "ru" "8"
"Netherlands" "ru" "3"
"Belarus" "ru" "2"
"Ireland" "ru" "6"
"Lithuania" "ru" "1"
"Estonia" "ru" "5"
"Serbia" "ru" ""
"Montenegro" "ru" ""
"Croatia" "ru" "4"
"Austria" "ru" ""
"Cyprus" "ru" ""
"Slovenia" "ru" ""
"Denmark" "rs" "8"
"Russia" "rs" "6"
"Ukraine" "rs" "5"
"Moldova" "rs" "7"
"Belgium" "rs" ""
"Netherlands" "rs" "1"
"Belarus" "rs" "4"
"Ireland" "rs" ""
"Lithuania" "rs" ""
"Estonia" "rs" ""
"Serbia" "rs" ""
"Montenegro" "rs" "12"
"Croatia" "rs" "10"
"Austria" "rs" "2"
"Cyprus" "rs" "3"
"Slovenia" "rs" ""
"Denmark" "si" "8"
"Russia" "si" "10"
"Ukraine" "si" "12"
"Moldova" "si" "7"
"Belgium" "si" "6"
"Netherlands" "si" "3"
"Belarus" "si" "4"
"Ireland" "si" ""
"Lithuania" "si" ""
"Estonia" "si" ""
"Serbia" "si" "5"
"Montenegro" "si" ""
"Croatia" "si" "2"
"Austria" "si" "1"
"Cyprus" "si" ""
"Slovenia" "si" ""
"Denmark" "se" "12"
"Russia" "se" "10"
"Ukraine" "se" "1"
"Moldova" "se" "5"
"Belgium" "se" "7"
"Netherlands" "se" "8"
"Belarus" "se" ""
"Ireland" "se" "3"
"Lithuania" "se" ""
"Estonia" "se" "6"
"Serbia" "se" "4"
"Montenegro" "se" "2"
"Croatia" "se" ""
"Austria" "se" ""
"Cyprus" "se" ""
"Slovenia" "se" ""
"Denmark" "ua" "4"
"Russia" "ua" "7"
"Ukraine" "ua" ""
"Moldova" "ua" "10"
"Belgium" "ua" ""
"Netherlands" "ua" ""
"Belarus" "ua" "12"
"Ireland" "ua" "3"
"Lithuania" "ua" "5"
"Estonia" "ua" "1"
"Serbia" "ua" "2"
"Montenegro" "ua" "8"
"Croatia" "ua" "6"
"Austria" "ua" ""
"Cyprus" "ua" ""
"Slovenia" "ua" ""
"Denmark" "gb" "12"
"Russia" "gb" "10"
"Ukraine" "gb" "2"
"Moldova" "gb" ""
"Belgium" "gb" "5"
"Netherlands" "gb" "8"
"Belarus" "gb" ""
"Ireland" "gb" "6"
"Lithuania" "gb" "7"
"Estonia" "gb" "4"
"Serbia" "gb" ""
"Montenegro" "gb" ""
"Croatia" "gb" ""
"Austria" "gb" "1"
"Cyprus" "gb" "3"
"Slovenia" "gb" ""
