"Country" "Voter" "Points"
"Turkey" "am" ""
"Azerbaijan" "am" ""
"Georgia" "am" "12"
"Romania" "am" "4"
"Denmark" "am" "5"
"Armenia" "am" ""
"Ukraine" "am" "10"
"Israel" "am" "8"
"Ireland" "am" "1"
"Cyprus" "am" "6"
"Sweden" "am" "3"
"Lithuania" "am" "2"
"Croatia" "am" "7"
"Netherlands" "am" ""
"Bulgaria" "am" ""
"Slovenia" "am" ""
"Switzerland" "am" ""
"Turkey" "az" "12"
"Azerbaijan" "az" ""
"Georgia" "az" "10"
"Romania" "az" "5"
"Denmark" "az" "6"
"Armenia" "az" ""
"Ukraine" "az" "8"
"Israel" "az" "7"
"Ireland" "az" "4"
"Cyprus" "az" "3"
"Sweden" "az" "2"
"Lithuania" "az" ""
"Croatia" "az" "1"
"Netherlands" "az" ""
"Bulgaria" "az" ""
"Slovenia" "az" ""
"Switzerland" "az" ""
"Turkey" "bg" "12"
"Azerbaijan" "bg" "7"
"Georgia" "bg" "10"
"Romania" "bg" "4"
"Denmark" "bg" "2"
"Armenia" "bg" "8"
"Ukraine" "bg" "6"
"Israel" "bg" "1"
"Ireland" "bg" ""
"Cyprus" "bg" "5"
"Sweden" "bg" ""
"Lithuania" "bg" ""
"Croatia" "bg" "3"
"Netherlands" "bg" ""
"Bulgaria" "bg" ""
"Slovenia" "bg" ""
"Switzerland" "bg" ""
"Turkey" "hr" "8"
"Azerbaijan" "hr" "10"
"Georgia" "hr" "7"
"Romania" "hr" ""
"Denmark" "hr" "4"
"Armenia" "hr" ""
"Ukraine" "hr" "6"
"Israel" "hr" ""
"Ireland" "hr" "3"
"Cyprus" "hr" "12"
"Sweden" "hr" "2"
"Lithuania" "hr" "1"
"Croatia" "hr" ""
"Netherlands" "hr" ""
"Bulgaria" "hr" ""
"Slovenia" "hr" "5"
"Switzerland" "hr" ""
"Turkey" "cy" ""
"Azerbaijan" "cy" "10"
"Georgia" "cy" "7"
"Romania" "cy" "8"
"Denmark" "cy" "3"
"Armenia" "cy" "12"
"Ukraine" "cy" "6"
"Israel" "cy" "4"
"Ireland" "cy" ""
"Cyprus" "cy" ""
"Sweden" "cy" "1"
"Lithuania" "cy" "2"
"Croatia" "cy" ""
"Netherlands" "cy" ""
"Bulgaria" "cy" "5"
"Slovenia" "cy" ""
"Switzerland" "cy" ""
"Turkey" "dk" "10"
"Azerbaijan" "dk" "5"
"Georgia" "dk" ""
"Romania" "dk" "8"
"Denmark" "dk" ""
"Armenia" "dk" ""
"Ukraine" "dk" "3"
"Israel" "dk" ""
"Ireland" "dk" "6"
"Cyprus" "dk" "7"
"Sweden" "dk" "12"
"Lithuania" "dk" "1"
"Croatia" "dk" "2"
"Netherlands" "dk" "4"
"Bulgaria" "dk" ""
"Slovenia" "dk" ""
"Switzerland" "dk" ""
"Turkey" "ge" "6"
"Azerbaijan" "ge" "12"
"Georgia" "ge" ""
"Romania" "ge" "4"
"Denmark" "ge" "3"
"Armenia" "ge" "10"
"Ukraine" "ge" "7"
"Israel" "ge" "5"
"Ireland" "ge" ""
"Cyprus" "ge" ""
"Sweden" "ge" ""
"Lithuania" "ge" "8"
"Croatia" "ge" ""
"Netherlands" "ge" "1"
"Bulgaria" "ge" ""
"Slovenia" "ge" ""
"Switzerland" "ge" "2"
"Turkey" "ie" "8"
"Azerbaijan" "ie" "10"
"Georgia" "ie" "7"
"Romania" "ie" "6"
"Denmark" "ie" "4"
"Armenia" "ie" ""
"Ukraine" "ie" "2"
"Israel" "ie" ""
"Ireland" "ie" ""
"Cyprus" "ie" ""
"Sweden" "ie" "5"
"Lithuania" "ie" "12"
"Croatia" "ie" "1"
"Netherlands" "ie" "3"
"Bulgaria" "ie" ""
"Slovenia" "ie" ""
"Switzerland" "ie" ""
"Turkey" "il" ""
"Azerbaijan" "il" "5"
"Georgia" "il" "6"
"Romania" "il" "8"
"Denmark" "il" "7"
"Armenia" "il" "12"
"Ukraine" "il" "2"
"Israel" "il" ""
"Ireland" "il" "3"
"Cyprus" "il" "10"
"Sweden" "il" ""
"Lithuania" "il" ""
"Croatia" "il" ""
"Netherlands" "il" "4"
"Bulgaria" "il" ""
"Slovenia" "il" "1"
"Switzerland" "il" ""
"Turkey" "lt" "8"
"Azerbaijan" "lt" "2"
"Georgia" "lt" "12"
"Romania" "lt" "6"
"Denmark" "lt" "5"
"Armenia" "lt" "1"
"Ukraine" "lt" "10"
"Israel" "lt" ""
"Ireland" "lt" "7"
"Cyprus" "lt" "4"
"Sweden" "lt" "3"
"Lithuania" "lt" ""
"Croatia" "lt" ""
"Netherlands" "lt" ""
"Bulgaria" "lt" ""
"Slovenia" "lt" ""
"Switzerland" "lt" ""
"Turkey" "nl" "7"
"Azerbaijan" "nl" "1"
"Georgia" "nl" "5"
"Romania" "nl" "3"
"Denmark" "nl" "4"
"Armenia" "nl" "10"
"Ukraine" "nl" "2"
"Israel" "nl" "12"
"Ireland" "nl" "8"
"Cyprus" "nl" ""
"Sweden" "nl" "6"
"Lithuania" "nl" ""
"Croatia" "nl" ""
"Netherlands" "nl" ""
"Bulgaria" "nl" ""
"Slovenia" "nl" ""
"Switzerland" "nl" ""
"Turkey" "no" "1"
"Azerbaijan" "no" "2"
"Georgia" "no" ""
"Romania" "no" "10"
"Denmark" "no" "8"
"Armenia" "no" ""
"Ukraine" "no" "4"
"Israel" "no" "7"
"Ireland" "no" "6"
"Cyprus" "no" ""
"Sweden" "no" "12"
"Lithuania" "no" "5"
"Croatia" "no" ""
"Netherlands" "no" "3"
"Bulgaria" "no" ""
"Slovenia" "no" ""
"Switzerland" "no" ""
"Turkey" "ro" "7"
"Azerbaijan" "ro" "8"
"Georgia" "ro" "2"
"Romania" "ro" ""
"Denmark" "ro" "12"
"Armenia" "ro" "10"
"Ukraine" "ro" "5"
"Israel" "ro" "3"
"Ireland" "ro" "4"
"Cyprus" "ro" "6"
"Sweden" "ro" "1"
"Lithuania" "ro" ""
"Croatia" "ro" ""
"Netherlands" "ro" ""
"Bulgaria" "ro" ""
"Slovenia" "ro" ""
"Switzerland" "ro" ""
"Turkey" "si" "3"
"Azerbaijan" "si" "8"
"Georgia" "si" "7"
"Romania" "si" "4"
"Denmark" "si" "10"
"Armenia" "si" ""
"Ukraine" "si" "1"
"Israel" "si" "5"
"Ireland" "si" "2"
"Cyprus" "si" ""
"Sweden" "si" ""
"Lithuania" "si" ""
"Croatia" "si" "12"
"Netherlands" "si" "6"
"Bulgaria" "si" ""
"Slovenia" "si" ""
"Switzerland" "si" ""
"Turkey" "se" "10"
"Azerbaijan" "se" "3"
"Georgia" "se" "2"
"Romania" "se" "7"
"Denmark" "se" "12"
"Armenia" "se" "5"
"Ukraine" "se" ""
"Israel" "se" "8"
"Ireland" "se" ""
"Cyprus" "se" "6"
"Sweden" "se" ""
"Lithuania" "se" "4"
"Croatia" "se" ""
"Netherlands" "se" "1"
"Bulgaria" "se" ""
"Slovenia" "se" ""
"Switzerland" "se" ""
"Turkey" "ch" "8"
"Azerbaijan" "ch" "6"
"Georgia" "ch" "1"
"Romania" "ch" "4"
"Denmark" "ch" "5"
"Armenia" "ch" "3"
"Ukraine" "ch" ""
"Israel" "ch" ""
"Ireland" "ch" "12"
"Cyprus" "ch" ""
"Sweden" "ch" "10"
"Lithuania" "ch" ""
"Croatia" "ch" "7"
"Netherlands" "ch" "2"
"Bulgaria" "ch" ""
"Slovenia" "ch" ""
"Switzerland" "ch" ""
"Turkey" "tr" ""
"Azerbaijan" "tr" "12"
"Georgia" "tr" "10"
"Romania" "tr" "8"
"Denmark" "tr" "6"
"Armenia" "tr" "4"
"Ukraine" "tr" "3"
"Israel" "tr" ""
"Ireland" "tr" "1"
"Cyprus" "tr" ""
"Sweden" "tr" "2"
"Lithuania" "tr" ""
"Croatia" "tr" ""
"Netherlands" "tr" "5"
"Bulgaria" "tr" "7"
"Slovenia" "tr" ""
"Switzerland" "tr" ""
"Turkey" "ua" "10"
"Azerbaijan" "ua" "12"
"Georgia" "ua" "7"
"Romania" "ua" "3"
"Denmark" "ua" "5"
"Armenia" "ua" "8"
"Ukraine" "ua" ""
"Israel" "ua" "6"
"Ireland" "ua" ""
"Cyprus" "ua" "4"
"Sweden" "ua" ""
"Lithuania" "ua" "2"
"Croatia" "ua" ""
"Netherlands" "ua" ""
"Bulgaria" "ua" "1"
"Slovenia" "ua" ""
"Switzerland" "ua" ""
"Turkey" "gb" "8"
