"Country" "Voter" "Points"
"Netherlands" "al" "2"
"Sweden" "al" "6"
"Hungary" "al" "10"
"Armenia" "al" "5"
"Ukraine" "al" "3"
"Russia" "al" ""
"Montenegro" "al" "12"
"Iceland" "al" ""
"Azerbaijan" "al" "7"
"San Marino" "al" "8"
"Portugal" "al" "1"
"Estonia" "al" ""
"Latvia" "al" ""
"Belgium" "al" ""
"Albania" "al" ""
"Moldova" "al" "4"
"Netherlands" "am" "10"
"Sweden" "am" "4"
"Hungary" "am" "1"
"Armenia" "am" ""
"Ukraine" "am" "12"
"Russia" "am" "7"
"Montenegro" "am" "8"
"Iceland" "am" ""
"Azerbaijan" "am" ""
"San Marino" "am" "2"
"Portugal" "am" "3"
"Estonia" "am" "5"
"Latvia" "am" ""
"Belgium" "am" "6"
"Albania" "am" ""
"Moldova" "am" ""
"Netherlands" "az" "3"
"Sweden" "az" ""
"Hungary" "az" "8"
"Armenia" "az" ""
"Ukraine" "az" "12"
"Russia" "az" "10"
"Montenegro" "az" "2"
"Iceland" "az" ""
"Azerbaijan" "az" ""
"San Marino" "az" "6"
"Portugal" "az" "1"
"Estonia" "az" "5"
"Latvia" "az" "7"
"Belgium" "az" "4"
"Albania" "az" ""
"Moldova" "az" ""
"Netherlands" "be" "10"
"Sweden" "be" "8"
"Hungary" "be" "12"
"Armenia" "be" "3"
"Ukraine" "be" "7"
"Russia" "be" "1"
"Montenegro" "be" ""
"Iceland" "be" "4"
"Azerbaijan" "be" ""
"San Marino" "be" ""
"Portugal" "be" "6"
"Estonia" "be" ""
"Latvia" "be" "5"
"Belgium" "be" ""
"Albania" "be" "2"
"Moldova" "be" ""
"Netherlands" "dk" "12"
"Sweden" "dk" "10"
"Hungary" "dk" "6"
"Armenia" "dk" "5"
"Ukraine" "dk" "7"
"Russia" "dk" "4"
"Montenegro" "dk" ""
"Iceland" "dk" "8"
"Azerbaijan" "dk" ""
"San Marino" "dk" ""
"Portugal" "dk" "3"
"Estonia" "dk" ""
"Latvia" "dk" "1"
"Belgium" "dk" ""
"Albania" "dk" "2"
"Moldova" "dk" ""
"Netherlands" "ee" "12"
"Sweden" "ee" "7"
"Hungary" "ee" "8"
"Armenia" "ee" "5"
"Ukraine" "ee" "10"
"Russia" "ee" "1"
"Montenegro" "ee" ""
"Iceland" "ee" "2"
"Azerbaijan" "ee" "4"
"San Marino" "ee" "3"
"Portugal" "ee" ""
"Estonia" "ee" ""
"Latvia" "ee" "6"
"Belgium" "ee" ""
"Albania" "ee" ""
"Moldova" "ee" ""
"Netherlands" "fr" "10"
"Sweden" "fr" "6"
"Hungary" "fr" "3"
"Armenia" "fr" "12"
"Ukraine" "fr" ""
"Russia" "fr" ""
"Montenegro" "fr" "7"
"Iceland" "fr" "8"
"Azerbaijan" "fr" "2"
"San Marino" "fr" ""
"Portugal" "fr" "5"
"Estonia" "fr" "4"
"Latvia" "fr" ""
"Belgium" "fr" "1"
"Albania" "fr" ""
"Moldova" "fr" ""
"Netherlands" "hu" "12"
"Sweden" "hu" "10"
"Hungary" "hu" ""
"Armenia" "hu" "8"
"Ukraine" "hu" "3"
"Russia" "hu" "5"
"Montenegro" "hu" "4"
"Iceland" "hu" "6"
"Azerbaijan" "hu" "1"
"San Marino" "hu" "7"
"Portugal" "hu" ""
"Estonia" "hu" ""
"Latvia" "hu" "2"
"Belgium" "hu" ""
"Albania" "hu" ""
"Moldova" "hu" ""
"Netherlands" "is" "12"
"Sweden" "is" "10"
"Hungary" "is" "8"
"Armenia" "is" "3"
"Ukraine" "is" "7"
"Russia" "is" "2"
"Montenegro" "is" ""
"Iceland" "is" ""
"Azerbaijan" "is" "1"
"San Marino" "is" "4"
"Portugal" "is" ""
"Estonia" "is" "5"
"Latvia" "is" "6"
"Belgium" "is" ""
"Albania" "is" ""
"Moldova" "is" ""
"Netherlands" "lv" "12"
"Sweden" "lv" "8"
"Hungary" "lv" "3"
"Armenia" "lv" "6"
"Ukraine" "lv" "7"
"Russia" "lv" "4"
"Montenegro" "lv" ""
"Iceland" "lv" "5"
"Azerbaijan" "lv" "2"
"San Marino" "lv" "1"
"Portugal" "lv" ""
"Estonia" "lv" "10"
"Latvia" "lv" ""
"Belgium" "lv" ""
"Albania" "lv" ""
"Moldova" "lv" ""
"Netherlands" "md" "2"
"Sweden" "md" "10"
"Hungary" "md" "4"
"Armenia" "md" ""
"Ukraine" "md" "8"
"Russia" "md" "12"
"Montenegro" "md" "5"
"Iceland" "md" ""
"Azerbaijan" "md" "6"
"San Marino" "md" "1"
"Portugal" "md" "3"
"Estonia" "md" ""
"Latvia" "md" ""
"Belgium" "md" "7"
"Albania" "md" ""
"Moldova" "md" ""
"Netherlands" "me" "1"
"Sweden" "me" "5"
"Hungary" "me" ""
"Armenia" "me" "10"
"Ukraine" "me" "8"
"Russia" "me" "4"
"Montenegro" "me" ""
"Iceland" "me" ""
"Azerbaijan" "me" "7"
"San Marino" "me" ""
"Portugal" "me" "3"
"Estonia" "me" ""
"Latvia" "me" ""
"Belgium" "me" "2"
"Albania" "me" "12"
"Moldova" "me" "6"
"Netherlands" "nl" ""
"Sweden" "nl" "8"
"Hungary" "nl" "10"
"Armenia" "nl" "12"
"Ukraine" "nl" "5"
"Russia" "nl" ""
"Montenegro" "nl" "6"
"Iceland" "nl" "7"
"Azerbaijan" "nl" "4"
"San Marino" "nl" ""
"Portugal" "nl" "2"
"Estonia" "nl" ""
"Latvia" "nl" ""
"Belgium" "nl" "3"
"Albania" "nl" "1"
"Moldova" "nl" ""
"Netherlands" "pt" "12"
"Sweden" "pt" "8"
"Hungary" "pt" "10"
"Armenia" "pt" "4"
"Ukraine" "pt" "7"
"Russia" "pt" "5"
"Montenegro" "pt" "6"
"Iceland" "pt" "1"
"Azerbaijan" "pt" "2"
"San Marino" "pt" ""
"Portugal" "pt" ""
"Estonia" "pt" ""
"Latvia" "pt" "3"
"Belgium" "pt" ""
"Albania" "pt" ""
"Moldova" "pt" ""
"Netherlands" "ru" "2"
"Sweden" "ru" "6"
"Hungary" "ru" "8"
"Armenia" "ru" "12"
"Ukraine" "ru" "7"
"Russia" "ru" ""
"Montenegro" "ru" "5"
"Iceland" "ru" ""
"Azerbaijan" "ru" "10"
"San Marino" "ru" "3"
"Portugal" "ru" ""
"Estonia" "ru" ""
"Latvia" "ru" ""
"Belgium" "ru" "4"
"Albania" "ru" ""
"Moldova" "ru" "1"
"Netherlands" "sm" "12"
"Sweden" "sm" "3"
"Hungary" "sm" "8"
"Armenia" "sm" "10"
"Ukraine" "sm" "4"
"Russia" "sm" ""
"Montenegro" "sm" ""
"Iceland" "sm" "7"
"Azerbaijan" "sm" "6"
"San Marino" "sm" ""
"Portugal" "sm" ""
"Estonia" "sm" ""
"Latvia" "sm" "2"
"Belgium" "sm" "1"
"Albania" "sm" "5"
"Moldova" "sm" ""
"Netherlands" "es" "7"
"Sweden" "es" "12"
"Hungary" "es" "10"
"Armenia" "es" "6"
"Ukraine" "es" "5"
"Russia" "es" ""
"Montenegro" "es" "4"
"Iceland" "es" "3"
"Azerbaijan" "es" ""
"San Marino" "es" "1"
"Portugal" "es" "8"
"Estonia" "es" "2"
"Latvia" "es" ""
"Belgium" "es" ""
"Albania" "es" ""
"Moldova" "es" ""
"Netherlands" "se" "12"
"Sweden" "se" ""
"Hungary" "se" "10"
"Armenia" "se" "8"
"Ukraine" "se" "6"
"Russia" "se" "2"
"Montenegro" "se" "3"
"Iceland" "se" "7"
"Azerbaijan" "se" ""
"San Marino" "se" ""
"Portugal" "se" "4"
"Estonia" "se" "5"
"Latvia" "se" "1"
"Belgium" "se" ""
"Albania" "se" ""
"Moldova" "se" ""
"Netherlands" "ua" "7"
"Sweden" "ua" "10"
"Hungary" "ua" "8"
"Armenia" "ua" "12"
"Ukraine" "ua" ""
"Russia" "ua" "6"
"Montenegro" "ua" "1"
"Iceland" "ua" "3"
"Azerbaijan" "ua" "5"
"San Marino" "ua" "4"
"Portugal" "ua" ""
"Estonia" "ua" ""
"Latvia" "ua" ""
"Belgium" "ua" ""
"Albania" "ua" ""
"Moldova" "ua" "2"
