"Country" "Voter" "Points"
"Luxembourg" "be" "6"
"Spain" "be" "8"
"United Kingdom" "be" "6"
"Israel" "be" "6"
"Sweden" "be" "4"
"Finland" "be" "9"
"Norway" "be" "5"
"Germany" "be" "5"
"Monaco" "be" "3"
"Portugal" "be" "6"
"Ireland" "be" "7"
"Switzerland" "be" "3"
"Italy" "be" "5"
"Netherlands" "be" "4"
"Yugoslavia" "be" "3"
"France" "be" "3"
"Belgium" "be" ""
"Luxembourg" "fi" "6"
"Spain" "fi" "3"
"United Kingdom" "fi" "9"
"Israel" "fi" "6"
"Sweden" "fi" "8"
"Finland" "fi" ""
"Norway" "fi" "8"
"Germany" "fi" "2"
"Monaco" "fi" "6"
"Portugal" "fi" "4"
"Ireland" "fi" "3"
"Switzerland" "fi" "4"
"Italy" "fi" "2"
"Netherlands" "fi" "4"
"Yugoslavia" "fi" "5"
"France" "fi" "4"
"Belgium" "fi" "4"
"Luxembourg" "fr" "10"
"Spain" "fr" "9"
"United Kingdom" "fr" "8"
"Israel" "fr" "5"
"Sweden" "fr" "4"
"Finland" "fr" "4"
"Norway" "fr" "6"
"Germany" "fr" "7"
"Monaco" "fr" "5"
"Portugal" "fr" "6"
"Ireland" "fr" "4"
"Switzerland" "fr" "2"
"Italy" "fr" "5"
"Netherlands" "fr" "6"
"Yugoslavia" "fr" "4"
"France" "fr" ""
"Belgium" "fr" "2"
"Luxembourg" "de" "7"
"Spain" "de" "9"
"United Kingdom" "de" "7"
"Israel" "de" "7"
"Sweden" "de" "5"
"Finland" "de" "6"
"Norway" "de" "6"
"Germany" "de" ""
"Monaco" "de" "4"
"Portugal" "de" "5"
"Ireland" "de" "4"
"Switzerland" "de" "4"
"Italy" "de" "5"
"Netherlands" "de" "5"
"Yugoslavia" "de" "4"
"France" "de" "4"
"Belgium" "de" "4"
"Luxembourg" "ie" "8"
"Spain" "ie" "10"
"United Kingdom" "ie" "9"
"Israel" "ie" "7"
"Sweden" "ie" "5"
"Finland" "ie" "5"
"Norway" "ie" "3"
"Germany" "ie" "6"
"Monaco" "ie" "6"
"Portugal" "ie" "4"
"Ireland" "ie" ""
"Switzerland" "ie" "7"
"Italy" "ie" "4"
"Netherlands" "ie" "5"
"Yugoslavia" "ie" "5"
"France" "ie" "5"
"Belgium" "ie" "4"
"Luxembourg" "il" "8"
"Spain" "il" "8"
"United Kingdom" "il" "9"
"Israel" "il" ""
"Sweden" "il" "5"
"Finland" "il" "5"
"Norway" "il" "9"
"Germany" "il" "4"
"Monaco" "il" "4"
"Portugal" "il" "5"
"Ireland" "il" "4"
"Switzerland" "il" "3"
"Italy" "il" "4"
"Netherlands" "il" "2"
"Yugoslavia" "il" "4"
"France" "il" "2"
"Belgium" "il" "2"
"Luxembourg" "it" "9"
"Spain" "it" "10"
"United Kingdom" "it" "5"
"Israel" "it" "7"
"Sweden" "it" "5"
"Finland" "it" "2"
"Norway" "it" "5"
"Germany" "it" "3"
"Monaco" "it" "8"
"Portugal" "it" "3"
"Ireland" "it" "5"
"Switzerland" "it" "4"
"Italy" "it" ""
"Netherlands" "it" "4"
"Yugoslavia" "it" "2"
"France" "it" "2"
"Belgium" "it" "2"
"Luxembourg" "lu" ""
"Spain" "lu" "8"
"United Kingdom" "lu" "10"
"Israel" "lu" "8"
"Sweden" "lu" "6"
"Finland" "lu" "6"
"Norway" "lu" "7"
"Germany" "lu" "7"
"Monaco" "lu" "6"
"Portugal" "lu" "4"
"Ireland" "lu" "6"
"Switzerland" "lu" "6"
"Italy" "lu" "5"
"Netherlands" "lu" "7"
"Yugoslavia" "lu" "4"
"France" "lu" "3"
"Belgium" "lu" "4"
"Luxembourg" "mc" "7"
"Spain" "mc" "9"
"United Kingdom" "mc" "8"
"Israel" "mc" "7"
"Sweden" "mc" "5"
"Finland" "mc" "5"
"Norway" "mc" "7"
"Germany" "mc" "5"
"Monaco" "mc" ""
"Portugal" "mc" "4"
"Ireland" "mc" "6"
"Switzerland" "mc" "5"
"Italy" "mc" "5"
"Netherlands" "mc" "4"
"Yugoslavia" "mc" "5"
"France" "mc" "5"
"Belgium" "mc" "6"
"Luxembourg" "nl" "9"
"Spain" "nl" "10"
"United Kingdom" "nl" "10"
"Israel" "nl" "6"
"Sweden" "nl" "6"
"Finland" "nl" "5"
"Norway" "nl" "3"
"Germany" "nl" "5"
"Monaco" "nl" "5"
"Portugal" "nl" "5"
"Ireland" "nl" "6"
"Switzerland" "nl" "8"
"Italy" "nl" "4"
"Netherlands" "nl" ""
"Yugoslavia" "nl" "4"
"France" "nl" "5"
"Belgium" "nl" "3"
"Luxembourg" "no" "8"
"Spain" "no" "4"
"United Kingdom" "no" "7"
"Israel" "no" "5"
"Sweden" "no" "8"
"Finland" "no" "6"
"Norway" "no" ""
"Germany" "no" "4"
"Monaco" "no" "3"
"Portugal" "no" "5"
"Ireland" "no" "6"
"Switzerland" "no" "7"
"Italy" "no" "5"
"Netherlands" "no" "5"
"Yugoslavia" "no" "2"
"France" "no" "4"
"Belgium" "no" "3"
"Luxembourg" "pt" "8"
"Spain" "pt" "9"
"United Kingdom" "pt" "6"
"Israel" "pt" "5"
"Sweden" "pt" "4"
"Finland" "pt" "5"
"Norway" "pt" "5"
"Germany" "pt" "6"
"Monaco" "pt" "2"
"Portugal" "pt" ""
"Ireland" "pt" "2"
"Switzerland" "pt" "3"
"Italy" "pt" "3"
"Netherlands" "pt" "2"
"Yugoslavia" "pt" "3"
"France" "pt" "2"
"Belgium" "pt" "3"
"Luxembourg" "es" "6"
"Spain" "es" ""
"United Kingdom" "es" "4"
"Israel" "es" "4"
"Sweden" "es" "7"
"Finland" "es" "6"
"Norway" "es" "6"
"Germany" "es" "9"
"Monaco" "es" "6"
"Portugal" "es" "8"
"Ireland" "es" "7"
"Switzerland" "es" "7"
"Italy" "es" "5"
"Netherlands" "es" "5"
"Yugoslavia" "es" "8"
"France" "es" "5"
"Belgium" "es" "6"
"Luxembourg" "se" "8"
"Spain" "se" "7"
"United Kingdom" "se" "9"
"Israel" "se" "6"
"Sweden" "se" ""
"Finland" "se" "7"
"Norway" "se" "3"
"Germany" "se" "6"
"Monaco" "se" "4"
"Portugal" "se" "2"
"Ireland" "se" "5"
"Switzerland" "se" "3"
"Italy" "se" "5"
"Netherlands" "se" "3"
"Yugoslavia" "se" "2"
"France" "se" "5"
"Belgium" "se" "2"
"Luxembourg" "ch" "10"
"Spain" "ch" "8"
"United Kingdom" "ch" "8"
"Israel" "ch" "6"
"Sweden" "ch" "9"
"Finland" "ch" "6"
"Norway" "ch" "7"
"Germany" "ch" "7"
"Monaco" "ch" "5"
"Portugal" "ch" "8"
"Ireland" "ch" "5"
"Switzerland" "ch" ""
"Italy" "ch" "7"
"Netherlands" "ch" "5"
"Yugoslavia" "ch" "6"
"France" "ch" "4"
"Belgium" "ch" "4"
"Luxembourg" "gb" "10"
"Spain" "gb" "4"
"United Kingdom" "gb" ""
"Israel" "gb" "5"
"Sweden" "gb" "7"
"Finland" "gb" "9"
"Norway" "gb" "3"
"Germany" "gb" "5"
"Monaco" "gb" "9"
"Portugal" "gb" "5"
"Ireland" "gb" "5"
"Switzerland" "gb" "7"
"Italy" "gb" "5"
"Netherlands" "gb" "3"
"Yugoslavia" "gb" "4"
"France" "gb" "5"
"Belgium" "gb" "5"
"Luxembourg" "yu" "9"
"Spain" "yu" "9"
"United Kingdom" "yu" "8"
"Israel" "yu" "7"
"Sweden" "yu" "6"
"Finland" "yu" "7"
"Norway" "yu" "6"
"Germany" "yu" "4"
"Monaco" "yu" "9"
"Portugal" "yu" "6"
"Ireland" "yu" "5"
"Switzerland" "yu" "6"
"Italy" "yu" "5"
"Netherlands" "yu" "5"
"Yugoslavia" "yu" ""
"France" "yu" "7"
"Belgium" "yu" "4"
