"Country" "Voter" "Points"
"Denmark" "al" "1"
"Azerbaijan" "al" "7"
"Ukraine" "al" ""
"Norway" "al" "2"
"Russia" "al" ""
"Greece" "al" "10"
"Italy" "al" "12"
"Malta" "al" ""
"Netherlands" "al" "4"
"Hungary" "al" "8"
"Moldova" "al" ""
"Belgium" "al" ""
"Romania" "al" "5"
"Sweden" "al" ""
"Georgia" "al" ""
"Belarus" "al" ""
"Iceland" "al" ""
"Armenia" "al" ""
"United Kingdom" "al" ""
"Estonia" "al" ""
"Germany" "al" "3"
"Lithuania" "al" ""
"France" "al" ""
"Finland" "al" ""
"Spain" "al" "6"
"Ireland" "al" ""
"Denmark" "am" "4"
"Azerbaijan" "am" ""
"Ukraine" "am" "12"
"Norway" "am" "3"
"Russia" "am" "7"
"Greece" "am" "8"
"Italy" "am" "1"
"Malta" "am" "6"
"Netherlands" "am" ""
"Hungary" "am" ""
"Moldova" "am" ""
"Belgium" "am" ""
"Romania" "am" ""
"Sweden" "am" ""
"Georgia" "am" "10"
"Belarus" "am" "5"
"Iceland" "am" ""
"Armenia" "am" ""
"United Kingdom" "am" ""
"Estonia" "am" ""
"Germany" "am" ""
"Lithuania" "am" ""
"France" "am" "2"
"Finland" "am" ""
"Spain" "am" ""
"Ireland" "am" ""
"Denmark" "at" "5"
"Azerbaijan" "at" "12"
"Ukraine" "at" "1"
"Norway" "at" ""
"Russia" "at" ""
"Greece" "at" "7"
"Italy" "at" "10"
"Malta" "at" ""
"Netherlands" "at" "8"
"Hungary" "at" ""
"Moldova" "at" "2"
"Belgium" "at" "3"
"Romania" "at" "4"
"Sweden" "at" ""
"Georgia" "at" ""
"Belarus" "at" ""
"Iceland" "at" ""
"Armenia" "at" ""
"United Kingdom" "at" ""
"Estonia" "at" ""
"Germany" "at" "6"
"Lithuania" "at" ""
"France" "at" ""
"Finland" "at" ""
"Spain" "at" ""
"Ireland" "at" ""
"Denmark" "az" "5"
"Azerbaijan" "az" ""
"Ukraine" "az" "12"
"Norway" "az" "2"
"Russia" "az" ""
"Greece" "az" "4"
"Italy" "az" ""
"Malta" "az" "8"
"Netherlands" "az" ""
"Hungary" "az" ""
"Moldova" "az" "1"
"Belgium" "az" ""
"Romania" "az" "6"
"Sweden" "az" ""
"Georgia" "az" "10"
"Belarus" "az" "7"
"Iceland" "az" ""
"Armenia" "az" ""
"United Kingdom" "az" ""
"Estonia" "az" ""
"Germany" "az" ""
"Lithuania" "az" "3"
"France" "az" ""
"Finland" "az" ""
"Spain" "az" ""
"Ireland" "az" ""
"Denmark" "by" "1"
"Azerbaijan" "by" "10"
"Ukraine" "by" "12"
"Norway" "by" "3"
"Russia" "by" "8"
"Greece" "by" "6"
"Italy" "by" ""
"Malta" "by" "7"
"Netherlands" "by" ""
"Hungary" "by" ""
"Moldova" "by" "4"
"Belgium" "by" ""
"Romania" "by" ""
"Sweden" "by" ""
"Georgia" "by" ""
"Belarus" "by" ""
"Iceland" "by" ""
"Armenia" "by" "2"
"United Kingdom" "by" ""
"Estonia" "by" ""
"Germany" "by" ""
"Lithuania" "by" "5"
"France" "by" ""
"Finland" "by" ""
"Spain" "by" ""
"Ireland" "by" ""
"Denmark" "be" "10"
"Azerbaijan" "be" "5"
"Ukraine" "be" "8"
"Norway" "be" "7"
"Russia" "be" "4"
"Greece" "be" "2"
"Italy" "be" "6"
"Malta" "be" ""
"Netherlands" "be" "12"
"Hungary" "be" ""
"Moldova" "be" "3"
"Belgium" "be" ""
"Romania" "be" ""
"Sweden" "be" "1"
"Georgia" "be" ""
"Belarus" "be" ""
"Iceland" "be" ""
"Armenia" "be" ""
"United Kingdom" "be" ""
"Estonia" "be" ""
"Germany" "be" ""
"Lithuania" "be" ""
"France" "be" ""
"Finland" "be" ""
"Spain" "be" ""
"Ireland" "be" ""
"Denmark" "bg" "2"
"Azerbaijan" "bg" "12"
"Ukraine" "bg" "10"
"Norway" "bg" "1"
"Russia" "bg" "5"
"Greece" "bg" "7"
"Italy" "bg" ""
"Malta" "bg" ""
"Netherlands" "bg" ""
"Hungary" "bg" "6"
"Moldova" "bg" "3"
"Belgium" "bg" ""
"Romania" "bg" ""
"Sweden" "bg" "4"
"Georgia" "bg" ""
"Belarus" "bg" ""
"Iceland" "bg" ""
"Armenia" "bg" "8"
"United Kingdom" "bg" ""
"Estonia" "bg" ""
"Germany" "bg" ""
"Lithuania" "bg" ""
"France" "bg" ""
"Finland" "bg" ""
"Spain" "bg" ""
"Ireland" "bg" ""
"Denmark" "hr" "10"
"Azerbaijan" "hr" "7"
"Ukraine" "hr" "12"
"Norway" "hr" "3"
"Russia" "hr" "6"
"Greece" "hr" "5"
"Italy" "hr" "8"
"Malta" "hr" ""
"Netherlands" "hr" "2"
"Hungary" "hr" "4"
"Moldova" "hr" ""
"Belgium" "hr" ""
"Romania" "hr" ""
"Sweden" "hr" "1"
"Georgia" "hr" ""
"Belarus" "hr" ""
"Iceland" "hr" ""
"Armenia" "hr" ""
"United Kingdom" "hr" ""
"Estonia" "hr" ""
"Germany" "hr" ""
"Lithuania" "hr" ""
"France" "hr" ""
"Finland" "hr" ""
"Spain" "hr" ""
"Ireland" "hr" ""
"Denmark" "cy" "7"
"Azerbaijan" "cy" "8"
"Ukraine" "cy" "10"
"Norway" "cy" "4"
"Russia" "cy" "5"
"Greece" "cy" "12"
"Italy" "cy" "6"
"Malta" "cy" "3"
"Netherlands" "cy" ""
"Hungary" "cy" ""
"Moldova" "cy" ""
"Belgium" "cy" ""
"Romania" "cy" ""
"Sweden" "cy" ""
"Georgia" "cy" ""
"Belarus" "cy" ""
"Iceland" "cy" ""
"Armenia" "cy" ""
"United Kingdom" "cy" ""
"Estonia" "cy" ""
"Germany" "cy" ""
"Lithuania" "cy" ""
"France" "cy" "1"
"Finland" "cy" ""
"Spain" "cy" ""
"Ireland" "cy" "2"
"Denmark" "dk" ""
"Azerbaijan" "dk" ""
"Ukraine" "dk" "3"
"Norway" "dk" "12"
"Russia" "dk" "7"
