"Country" "Voter" "Points"
"Romania" "al" ""
"Moldova" "al" "3"
"Denmark" "al" ""
"Croatia" "al" "10"
"Hungary" "al" ""
"Norway" "al" "2"
"Israel" "al" "7"
"Switzerland" "al" ""
"North Macedonia" "al" "12"
"Latvia" "al" ""
"Poland" "al" ""
"Slovenia" "al" "8"
"Belarus" "al" ""
"Netherlands" "al" ""
"Ireland" "al" ""
"Iceland" "al" ""
"Portugal" "al" ""
"Finland" "al" ""
"Bulgaria" "al" "4"
"Estonia" "al" ""
"Austria" "al" "5"
"Belgium" "al" "1"
"Andorra" "al" "6"
"Monaco" "al" ""
"Lithuania" "al" ""
"Romania" "ad" "4"
"Moldova" "ad" ""
"Denmark" "ad" "8"
"Croatia" "ad" ""
"Hungary" "ad" "1"
"Norway" "ad" ""
"Israel" "ad" "12"
"Switzerland" "ad" ""
"North Macedonia" "ad" ""
"Latvia" "ad" ""
"Poland" "ad" ""
"Slovenia" "ad" ""
"Belarus" "ad" ""
"Netherlands" "ad" "5"
"Ireland" "ad" "2"
"Iceland" "ad" "6"
"Portugal" "ad" ""
"Finland" "ad" "3"
"Bulgaria" "ad" ""
"Estonia" "ad" ""
"Austria" "ad" "7"
"Belgium" "ad" ""
"Andorra" "ad" ""
"Monaco" "ad" "10"
"Lithuania" "ad" ""
"Romania" "at" "10"
"Moldova" "at" "8"
"Denmark" "at" "6"
"Croatia" "at" "12"
"Hungary" "at" "7"
"Norway" "at" "2"
"Israel" "at" ""
"Switzerland" "at" "1"
"North Macedonia" "at" "4"
"Latvia" "at" ""
"Poland" "at" "5"
"Slovenia" "at" "3"
"Belarus" "at" ""
"Netherlands" "at" ""
"Ireland" "at" ""
"Iceland" "at" ""
"Portugal" "at" ""
"Finland" "at" ""
"Bulgaria" "at" ""
"Estonia" "at" ""
"Austria" "at" ""
"Belgium" "at" ""
"Andorra" "at" ""
"Monaco" "at" ""
"Lithuania" "at" ""
"Romania" "by" "3"
"Moldova" "by" "10"
"Denmark" "by" ""
"Croatia" "by" "1"
"Hungary" "by" "4"
"Norway" "by" "5"
"Israel" "by" "12"
"Switzerland" "by" "8"
"North Macedonia" "by" ""
"Latvia" "by" "7"
"Poland" "by" "6"
"Slovenia" "by" "2"
"Belarus" "by" ""
"Netherlands" "by" ""
"Ireland" "by" ""
"Iceland" "by" ""
"Portugal" "by" ""
"Finland" "by" ""
"Bulgaria" "by" ""
"Estonia" "by" ""
"Austria" "by" ""
"Belgium" "by" ""
"Andorra" "by" ""
"Monaco" "by" ""
"Lithuania" "by" ""
"Romania" "be" "8"
"Moldova" "be" "4"
"Denmark" "be" "7"
"Croatia" "be" "1"
"Hungary" "be" "6"
"Norway" "be" "2"
"Israel" "be" "3"
"Switzerland" "be" ""
"North Macedonia" "be" ""
"Latvia" "be" ""
"Poland" "be" "5"
"Slovenia" "be" ""
"Belarus" "be" ""
"Netherlands" "be" "12"
"Ireland" "be" ""
"Iceland" "be" ""
"Portugal" "be" "10"
"Finland" "be" ""
"Bulgaria" "be" ""
"Estonia" "be" ""
"Austria" "be" ""
"Belgium" "be" ""
"Andorra" "be" ""
"Monaco" "be" ""
"Lithuania" "be" ""
"Romania" "ba" "5"
"Moldova" "ba" "6"
"Denmark" "ba" ""
"Croatia" "ba" "12"
"Hungary" "ba" "3"
"Norway" "ba" "7"
"Israel" "ba" ""
"Switzerland" "ba" "2"
"North Macedonia" "ba" "10"
"Latvia" "ba" ""
"Poland" "ba" ""
"Slovenia" "ba" "8"
"Belarus" "ba" ""
"Netherlands" "ba" ""
"Ireland" "ba" "4"
"Iceland" "ba" ""
"Portugal" "ba" ""
"Finland" "ba" ""
"Bulgaria" "ba" "1"
"Estonia" "ba" ""
"Austria" "ba" ""
"Belgium" "ba" ""
"Andorra" "ba" ""
"Monaco" "ba" ""
"Lithuania" "ba" ""
"Romania" "bg" "5"
"Moldova" "bg" "6"
"Denmark" "bg" ""
"Croatia" "bg" "8"
"Hungary" "bg" "7"
"Norway" "bg" "2"
"Israel" "bg" "4"
"Switzerland" "bg" "3"
"North Macedonia" "bg" "10"
"Latvia" "bg" ""
"Poland" "bg" ""
"Slovenia" "bg" ""
"Belarus" "bg" "12"
"Netherlands" "bg" ""
"Ireland" "bg" "1"
"Iceland" "bg" ""
"Portugal" "bg" ""
"Finland" "bg" ""
"Bulgaria" "bg" ""
"Estonia" "bg" ""
"Austria" "bg" ""
"Belgium" "bg" ""
"Andorra" "bg" ""
"Monaco" "bg" ""
"Lithuania" "bg" ""
"Romania" "hr" "1"
"Moldova" "hr" "4"
"Denmark" "hr" "6"
"Croatia" "hr" ""
"Hungary" "hr" "8"
"Norway" "hr" ""
"Israel" "hr" ""
"Switzerland" "hr" "3"
"North Macedonia" "hr" "12"
"Latvia" "hr" "7"
"Poland" "hr" "2"
"Slovenia" "hr" "10"
"Belarus" "hr" ""
"Netherlands" "hr" ""
"Ireland" "hr" "5"
"Iceland" "hr" ""
"Portugal" "hr" ""
"Finland" "hr" ""
"Bulgaria" "hr" ""
"Estonia" "hr" ""
"Austria" "hr" ""
"Belgium" "hr" ""
"Andorra" "hr" ""
"Monaco" "hr" ""
"Lithuania" "hr" ""
"Romania" "cy" "12"
"Moldova" "cy" "8"
"Denmark" "cy" ""
"Croatia" "cy" ""
"Hungary" "cy" "6"
"Norway" "cy" "4"
"Israel" "cy" "3"
"Switzerland" "cy" "5"
"North Macedonia" "cy" ""
"Latvia" "cy" "2"
"Poland" "cy" ""
"Slovenia" "cy" ""
"Belarus" "cy" "7"
"Netherlands" "cy" ""
"Ireland" "cy" "1"
"Iceland" "cy" ""
"Portugal" "cy" ""
"Finland" "cy" ""
"Bulgaria" "cy" "10"
"Estonia" "cy" ""
"Austria" "cy" ""
"Belgium" "cy" ""
"Andorra" "cy" ""
"Monaco" "cy" ""
"Lithuania" "cy" ""
"Romania" "dk" "7"
"Moldova" "dk" ""
"Denmark" "dk" ""
"Croatia" "dk" ""
"Hungary" "dk" "1"
"Norway" "dk" "12"
"Israel" "dk" "4"
"Switzerland" "dk" "2"
"North Macedonia" "dk" ""
"Latvia" "dk" "5"
"Poland" "dk" ""
"Slovenia" "dk" ""
"Belarus" "dk" ""
"Netherlands" "dk" "6"
"Ireland" "dk" ""
"Iceland" "dk" "10"
"Portugal" "dk" ""
"Finland" "dk" "8"
"Bulgaria" "dk" ""
"Estonia" "dk" "3"
"Austria" "dk" ""
"Belgium" "dk" ""
"Andorra" "dk" ""
"Monaco" "dk" ""
