"Country" "Voter" "Points"
"Austria" "at" ""
"Romania" "at" "12"
"Finland" "at" "8"
"Switzerland" "at" "6"
"Belarus" "at" "10"
"Norway" "at" "5"
"Greece" "at" "3"
"Poland" "at" "2"
"Malta" "at" "1"
"Slovenia" "at" "7"
"Lithuania" "at" ""
"Ireland" "at" "4"
"North Macedonia" "at" ""
"Israel" "at" ""
"Georgia" "at" ""
"Austria" "by" "7"
"Romania" "by" "8"
"Finland" "by" ""
"Switzerland" "by" "3"
"Belarus" "by" ""
"Norway" "by" ""
"Greece" "by" "12"
"Poland" "by" "10"
"Malta" "by" "4"
"Slovenia" "by" ""
"Lithuania" "by" "6"
"Ireland" "by" ""
"North Macedonia" "by" "1"
"Israel" "by" "2"
"Georgia" "by" "5"
"Austria" "fi" "12"
"Romania" "fi" "6"
"Finland" "fi" ""
"Switzerland" "fi" "8"
"Belarus" "fi" "7"
"Norway" "fi" "10"
"Greece" "fi" "4"
"Poland" "fi" ""
"Malta" "fi" "5"
"Slovenia" "fi" "2"
"Lithuania" "fi" ""
"Ireland" "fi" ""
"North Macedonia" "fi" "1"
"Israel" "fi" "3"
"Georgia" "fi" ""
"Austria" "ge" "10"
"Romania" "ge" "6"
"Finland" "ge" "1"
"Switzerland" "ge" ""
"Belarus" "ge" "12"
"Norway" "ge" "5"
"Greece" "ge" "3"
"Poland" "ge" ""
"Malta" "ge" "8"
"Slovenia" "ge" "4"
"Lithuania" "ge" "7"
"Ireland" "ge" ""
"North Macedonia" "ge" "2"
"Israel" "ge" ""
"Georgia" "ge" ""
"Austria" "de" "4"
"Romania" "de" "8"
"Finland" "de" "5"
"Switzerland" "de" "10"
"Belarus" "de" ""
"Norway" "de" "7"
"Greece" "de" "6"
"Poland" "de" "12"
"Malta" "de" "3"
"Slovenia" "de" ""
"Lithuania" "de" ""
"Ireland" "de" ""
"North Macedonia" "de" ""
"Israel" "de" "2"
"Georgia" "de" "1"
"Austria" "gr" "12"
"Romania" "gr" "10"
"Finland" "gr" "4"
"Switzerland" "gr" "5"
"Belarus" "gr" "8"
"Norway" "gr" "7"
"Greece" "gr" ""
"Poland" "gr" "3"
"Malta" "gr" ""
"Slovenia" "gr" ""
"Lithuania" "gr" ""
"Ireland" "gr" "2"
"North Macedonia" "gr" ""
"Israel" "gr" "6"
"Georgia" "gr" "1"
"Austria" "ie" "12"
"Romania" "ie" "7"
"Finland" "ie" "10"
"Switzerland" "ie" "6"
"Belarus" "ie" "1"
"Norway" "ie" "8"
"Greece" "ie" "4"
"Poland" "ie" "2"
"Malta" "ie" "3"
"Slovenia" "ie" ""
"Lithuania" "ie" "5"
"Ireland" "ie" ""
"North Macedonia" "ie" ""
"Israel" "ie" ""
"Georgia" "ie" ""
"Austria" "il" "10"
"Romania" "il" "12"
"Finland" "il" "3"
"Switzerland" "il" "5"
"Belarus" "il" "7"
"Norway" "il" ""
"Greece" "il" "6"
"Poland" "il" "4"
"Malta" "il" ""
"Slovenia" "il" "8"
"Lithuania" "il" ""
"Ireland" "il" "1"
"North Macedonia" "il" "2"
"Israel" "il" ""
"Georgia" "il" ""
"Austria" "it" "12"
"Romania" "it" "4"
"Finland" "it" "8"
"Switzerland" "it" "3"
"Belarus" "it" ""
"Norway" "it" ""
"Greece" "it" "6"
"Poland" "it" "10"
"Malta" "it" "5"
"Slovenia" "it" "7"
"Lithuania" "it" "1"
"Ireland" "it" ""
"North Macedonia" "it" "2"
"Israel" "it" ""
"Georgia" "it" ""
"Austria" "lt" "10"
"Romania" "lt" "2"
"Finland" "lt" "5"
"Switzerland" "lt" "7"
