"Country" "Voter" "Points"
"Italy" "at" "7"
"France" "at" "2"
"Ireland" "at" "12"
"Iceland" "at" "10"
"Spain" "at" "8"
"United Kingdom" "at" "1"
"Yugoslavia" "at" ""
"Denmark" "at" "6"
"Germany" "at" "3"
"Austria" "at" ""
"Switzerland" "at" ""
"Belgium" "at" "4"
"Luxembourg" "at" "5"
"Cyprus" "at" ""
"Netherlands" "at" ""
"Sweden" "at" ""
"Turkey" "at" ""
"Israel" "at" ""
"Greece" "at" ""
"Portugal" "at" ""
"Norway" "at" ""
"Finland" "at" ""
"Italy" "be" "8"
"France" "be" "4"
"Ireland" "be" "7"
"Iceland" "be" "10"
"Spain" "be" "1"
"United Kingdom" "be" "12"
"Yugoslavia" "be" ""
"Denmark" "be" "3"
"Germany" "be" "6"
"Austria" "be" "2"
"Switzerland" "be" ""
"Belgium" "be" ""
"Luxembourg" "be" ""
"Cyprus" "be" "5"
"Netherlands" "be" ""
"Sweden" "be" ""
"Turkey" "be" ""
"Israel" "be" ""
"Greece" "be" ""
"Portugal" "be" ""
"Norway" "be" ""
"Finland" "be" ""
"Italy" "cy" "12"
"France" "cy" "7"
"Ireland" "cy" ""
"Iceland" "cy" ""
"Spain" "cy" "8"
"United Kingdom" "cy" "3"
"Yugoslavia" "cy" "10"
"Denmark" "cy" "4"
"Germany" "cy" ""
"Austria" "cy" ""
"Switzerland" "cy" "1"
"Belgium" "cy" ""
"Luxembourg" "cy" "5"
"Cyprus" "cy" ""
"Netherlands" "cy" "2"
"Sweden" "cy" ""
"Turkey" "cy" ""
"Israel" "cy" ""
"Greece" "cy" "6"
"Portugal" "cy" ""
"Norway" "cy" ""
"Finland" "cy" ""
"Italy" "dk" "6"
"France" "dk" "5"
"Ireland" "dk" "8"
"Iceland" "dk" "10"
"Spain" "dk" ""
"United Kingdom" "dk" "3"
"Yugoslavia" "dk" "7"
"Denmark" "dk" ""
"Germany" "dk" "4"
"Austria" "dk" ""
"Switzerland" "dk" "12"
"Belgium" "dk" ""
"Luxembourg" "dk" ""
"Cyprus" "dk" "2"
"Netherlands" "dk" ""
"Sweden" "dk" ""
"Turkey" "dk" ""
"Israel" "dk" ""
"Greece" "dk" ""
"Portugal" "dk" ""
"Norway" "dk" "1"
"Finland" "dk" ""
"Italy" "fi" "8"
"France" "fi" "12"
"Ireland" "fi" "4"
"Iceland" "fi" "7"
"Spain" "fi" "10"
"United Kingdom" "fi" ""
"Yugoslavia" "fi" "1"
"Denmark" "fi" ""
"Germany" "fi" ""
"Austria" "fi" "2"
"Switzerland" "fi" "3"
"Belgium" "fi" ""
"Luxembourg" "fi" ""
"Cyprus" "fi" "6"
"Netherlands" "fi" ""
"Sweden" "fi" ""
"Turkey" "fi" ""
"Israel" "fi" "5"
"Greece" "fi" ""
"Portugal" "fi" ""
"Norway" "fi" ""
"Finland" "fi" ""
"Italy" "fr" "4"
"France" "fr" ""
"Ireland" "fr" "7"
"Iceland" "fr" ""
"Spain" "fr" "5"
"United Kingdom" "fr" "10"
"Yugoslavia" "fr" "2"
"Denmark" "fr" ""
"Germany" "fr" ""
"Austria" "fr" "3"
"Switzerland" "fr" "1"
"Belgium" "fr" "8"
"Luxembourg" "fr" "12"
"Cyprus" "fr" ""
"Netherlands" "fr" "6"
"Sweden" "fr" ""
"Turkey" "fr" ""
"Israel" "fr" ""
"Greece" "fr" ""
"Portugal" "fr" ""
"Norway" "fr" ""
"Finland" "fr" ""
"Italy" "de" "6"
"France" "de" "10"
"Ireland" "de" "7"
"Iceland" "de" ""
"Spain" "de" "12"
"United Kingdom" "de" "1"
"Yugoslavia" "de" ""
"Denmark" "de" ""
"Germany" "de" ""
"Austria" "de" ""
