"Country" "Voter" "Points"
"Norway" "al" "7"
"Iceland" "al" "6"
"Azerbaijan" "al" "4"
"Turkey" "al" "10"
"United Kingdom" "al" "8"
"Estonia" "al" ""
"Greece" "al" "12"
"France" "al" "2"
"Bosnia & Herzegovina" "al" "5"
"Armenia" "al" ""
"Russia" "al" ""
"Ukraine" "al" ""
"Denmark" "al" ""
"Moldova" "al" ""
"Portugal" "al" ""
"Israel" "al" ""
"Albania" "al" ""
"Croatia" "al" ""
"Romania" "al" ""
"Germany" "al" "3"
"Sweden" "al" "1"
"Malta" "al" ""
"Lithuania" "al" ""
"Spain" "al" ""
"Finland" "al" ""
"Norway" "ad" "10"
"Iceland" "ad" "8"
"Azerbaijan" "ad" ""
"Turkey" "ad" ""
"United Kingdom" "ad" "4"
"Estonia" "ad" ""
"Greece" "ad" ""
"France" "ad" "3"
"Bosnia & Herzegovina" "ad" ""
"Armenia" "ad" ""
"Russia" "ad" ""
"Ukraine" "ad" ""
"Denmark" "ad" "5"
"Moldova" "ad" ""
"Portugal" "ad" "6"
"Israel" "ad" "7"
"Albania" "ad" ""
"Croatia" "ad" ""
"Romania" "ad" ""
"Germany" "ad" ""
"Sweden" "ad" "2"
"Malta" "ad" "1"
"Lithuania" "ad" ""
"Spain" "ad" "12"
"Finland" "ad" ""
"Norway" "am" "8"
"Iceland" "am" "5"
"Azerbaijan" "am" "1"
"Turkey" "am" "4"
"United Kingdom" "am" "7"
"Estonia" "am" ""
"Greece" "am" "10"
"France" "am" "6"
"Bosnia & Herzegovina" "am" ""
"Armenia" "am" ""
"Russia" "am" "12"
"Ukraine" "am" "3"
"Denmark" "am" ""
"Moldova" "am" "2"
"Portugal" "am" ""
"Israel" "am" ""
"Albania" "am" ""
"Croatia" "am" ""
"Romania" "am" ""
"Germany" "am" ""
"Sweden" "am" ""
"Malta" "am" ""
"Lithuania" "am" ""
"Spain" "am" ""
"Finland" "am" ""
"Norway" "az" "8"
"Iceland" "az" ""
"Azerbaijan" "az" ""
"Turkey" "az" "12"
"United Kingdom" "az" ""
"Estonia" "az" "4"
"Greece" "az" ""
"France" "az" ""
"Bosnia & Herzegovina" "az" "2"
"Armenia" "az" ""
"Russia" "az" "6"
"Ukraine" "az" "10"
"Denmark" "az" ""
"Moldova" "az" "7"
"Portugal" "az" ""
"Israel" "az" ""
"Albania" "az" ""
"Croatia" "az" "5"
"Romania" "az" "3"
"Germany" "az" ""
"Sweden" "az" ""
"Malta" "az" ""
"Lithuania" "az" "1"
"Spain" "az" ""
"Finland" "az" ""
"Norway" "by" "12"
"Iceland" "by" "2"
"Azerbaijan" "by" "10"
"Turkey" "by" ""
"United Kingdom" "by" "3"
"Estonia" "by" "4"
"Greece" "by" "5"
"France" "by" "7"
"Bosnia & Herzegovina" "by" ""
