"Country" "Voter" "Points"
"Greece" "ad" "5"
"Armenia" "ad" "3"
"Russia" "ad" "4"
"Norway" "ad" "10"
"Israel" "ad" "7"
"Azerbaijan" "ad" "8"
"Romania" "ad" "6"
"Finland" "ad" "12"
"Bosnia & Herzegovina" "ad" ""
"Poland" "ad" ""
"Slovenia" "ad" ""
"Moldova" "ad" "1"
"Netherlands" "ad" ""
"Montenegro" "ad" ""
"Ireland" "ad" ""
"Andorra" "ad" ""
"Belgium" "ad" ""
"Estonia" "ad" ""
"San Marino" "ad" "2"
"Greece" "am" "10"
"Armenia" "am" ""
"Russia" "am" "12"
"Norway" "am" "8"
"Israel" "am" "7"
"Azerbaijan" "am" "2"
"Romania" "am" "5"
"Finland" "am" ""
"Bosnia & Herzegovina" "am" ""
"Poland" "am" "1"
"Slovenia" "am" "4"
"Moldova" "am" "6"
"Netherlands" "am" "3"
"Montenegro" "am" ""
"Ireland" "am" ""
"Andorra" "am" ""
"Belgium" "am" ""
"Estonia" "am" ""
"San Marino" "am" ""
"Greece" "az" "12"
"Armenia" "az" ""
"Russia" "az" "8"
"Norway" "az" "7"
"Israel" "az" "10"
"Azerbaijan" "az" ""
"Romania" "az" "6"
"Finland" "az" ""
"Bosnia & Herzegovina" "az" "4"
"Poland" "az" "3"
"Slovenia" "az" "1"
"Moldova" "az" "5"
"Netherlands" "az" "2"
"Montenegro" "az" ""
"Ireland" "az" ""
"Andorra" "az" ""
"Belgium" "az" ""
"Estonia" "az" ""
"San Marino" "az" ""
"Greece" "be" "10"
"Armenia" "be" "12"
"Russia" "be" "3"
"Norway" "be" "1"
"Israel" "be" "7"
"Azerbaijan" "be" "5"
"Romania" "be" "6"
"Finland" "be" "2"
"Bosnia & Herzegovina" "be" ""
"Poland" "be" ""
"Slovenia" "be" ""
"Moldova" "be" ""
"Netherlands" "be" "8"
"Montenegro" "be" ""
"Ireland" "be" "4"
"Andorra" "be" ""
"Belgium" "be" ""
"Estonia" "be" ""
"San Marino" "be" ""
"Greece" "ba" "8"
"Armenia" "ba" "6"
"Russia" "ba" "7"
"Norway" "ba" "4"
"Israel" "ba" "5"
"Azerbaijan" "ba" "3"
"Romania" "ba" ""
"Finland" "ba" "1"
"Bosnia & Herzegovina" "ba" ""
"Poland" "ba" ""
"Slovenia" "ba" "10"
"Moldova" "ba" ""
"Netherlands" "ba" ""
"Montenegro" "ba" "12"
"Ireland" "ba" "2"
"Andorra" "ba" ""
"Belgium" "ba" ""
"Estonia" "ba" ""
"San Marino" "ba" ""
"Greece" "ee" "5"
"Armenia" "ee" "2"
"Russia" "ee" "10"
"Norway" "ee" "8"
"Israel" "ee" ""
"Azerbaijan" "ee" "4"
"Romania" "ee" ""
"Finland" "ee" "12"
"Bosnia & Herzegovina" "ee" "1"
"Poland" "ee" ""
"Slovenia" "ee" ""
"Moldova" "ee" ""
"Netherlands" "ee" ""
"Montenegro" "ee" ""
"Ireland" "ee" "7"
"Andorra" "ee" "3"
"Belgium" "ee" "6"
"Estonia" "ee" ""
"San Marino" "ee" ""
"Greece" "fi" "3"
"Armenia" "fi" "4"
"Russia" "fi" "6"
"Norway" "fi" "12"
"Israel" "fi" "10"
"Azerbaijan" "fi" "5"
"Romania" "fi" "1"
"Finland" "fi" ""
"Bosnia & Herzegovina" "fi" "8"
"Poland" "fi" ""
"Slovenia" "fi" ""
"Moldova" "fi" ""
"Netherlands" "fi" ""
"Montenegro" "fi" ""
"Ireland" "fi" "2"
"Andorra" "fi" ""
"Belgium" "fi" ""
"Estonia" "fi" "7"
"San Marino" "fi" ""
"Greece" "de" "12"
"Armenia" "de" "10"
"Russia" "de" "6"
"Norway" "de" "1"
"Israel" "de" "4"
"Azerbaijan" "de" "8"
"Romania" "de" "3"
"Finland" "de" "2"
"Bosnia & Herzegovina" "de" "7"
"Poland" "de" "5"
"Slovenia" "de" ""
"Moldova" "de" ""
