"Country" "Voter" "Points"
"Ukraine" "al" ""
"Portugal" "al" "6"
"Denmark" "al" "4"
"Croatia" "al" "3"
"Georgia" "al" ""
"Latvia" "al" ""
"Turkey" "al" "12"
"Iceland" "al" "5"
"Albania" "al" ""
"North Macedonia" "al" "7"
"Bulgaria" "al" ""
"Sweden" "al" "1"
"Switzerland" "al" "10"
"Malta" "al" "8"
"Cyprus" "al" "2"
"Lithuania" "al" ""
"Belarus" "al" ""
"Czech Republic" "al" ""
"Hungary" "al" ""
"Ukraine" "by" "12"
"Portugal" "by" "8"
"Denmark" "by" "4"
"Croatia" "by" "7"
"Georgia" "by" "10"
"Latvia" "by" "6"
"Turkey" "by" "3"
"Iceland" "by" "1"
"Albania" "by" "5"
"North Macedonia" "by" ""
"Bulgaria" "by" "2"
"Sweden" "by" ""
"Switzerland" "by" ""
"Malta" "by" ""
"Cyprus" "by" ""
"Lithuania" "by" ""
"Belarus" "by" ""
"Czech Republic" "by" ""
"Hungary" "by" ""
"Ukraine" "bg" "12"
"Portugal" "bg" "5"
"Denmark" "bg" "2"
"Croatia" "bg" "6"
"Georgia" "bg" "4"
"Latvia" "bg" "1"
"Turkey" "bg" "7"
"Iceland" "bg" ""
"Albania" "bg" ""
"North Macedonia" "bg" "10"
"Bulgaria" "bg" ""
"Sweden" "bg" ""
"Switzerland" "bg" ""
"Malta" "bg" "3"
"Cyprus" "bg" "8"
"Lithuania" "bg" ""
"Belarus" "bg" ""
"Czech Republic" "bg" ""
"Hungary" "bg" ""
"Ukraine" "hr" "7"
"Portugal" "hr" "8"
"Denmark" "hr" "3"
"Croatia" "hr" ""
"Georgia" "hr" ""
"Latvia" "hr" "6"
"Turkey" "hr" ""
"Iceland" "hr" ""
"Albania" "hr" "10"
"North Macedonia" "hr" "12"
"Bulgaria" "hr" "1"
"Sweden" "hr" ""
"Switzerland" "hr" "5"
"Malta" "hr" "4"
"Cyprus" "hr" ""
"Lithuania" "hr" ""
"Belarus" "hr" ""
"Czech Republic" "hr" "2"
"Hungary" "hr" ""
"Ukraine" "cy" "10"
"Portugal" "cy" "3"
"Denmark" "cy" "5"
"Croatia" "cy" "6"
"Georgia" "cy" "12"
"Latvia" "cy" ""
"Turkey" "cy" ""
"Iceland" "cy" "1"
"Albania" "cy" ""
"North Macedonia" "cy" ""
"Bulgaria" "cy" "8"
"Sweden" "cy" "4"
"Switzerland" "cy" "7"
"Malta" "cy" ""
"Cyprus" "cy" ""
"Lithuania" "cy" ""
"Belarus" "cy" "2"
"Czech Republic" "cy" ""
"Hungary" "cy" ""
"Ukraine" "cz" "12"
"Portugal" "cz" "7"
"Denmark" "cz" "10"
"Croatia" "cz" "3"
"Georgia" "cz" "8"
"Latvia" "cz" "5"
"Turkey" "cz" ""
"Iceland" "cz" ""
"Albania" "cz" "1"
"North Macedonia" "cz" "4"
"Bulgaria" "cz" "2"
"Sweden" "cz" ""
"Switzerland" "cz" ""
"Malta" "cz" "6"
"Cyprus" "cz" ""
"Lithuania" "cz" ""
"Belarus" "cz" ""
"Czech Republic" "cz" ""
"Hungary" "cz" ""
"Ukraine" "dk" "7"
"Portugal" "dk" ""
"Denmark" "dk" ""
"Croatia" "dk" "3"
"Georgia" "dk" ""
"Latvia" "dk" "6"
"Turkey" "dk" "8"
"Iceland" "dk" "10"
"Albania" "dk" ""
"North Macedonia" "dk" "2"
"Bulgaria" "dk" ""
"Sweden" "dk" "12"
"Switzerland" "dk" "5"
"Malta" "dk" "4"
"Cyprus" "dk" ""
"Lithuania" "dk" ""
"Belarus" "dk" ""
"Czech Republic" "dk" ""
"Hungary" "dk" "1"
"Ukraine" "fr" "3"
"Portugal" "fr" "12"
"Denmark" "fr" "4"
"Croatia" "fr" "2"
"Georgia" "fr" ""
"Latvia" "fr" ""
"Turkey" "fr" "10"
"Iceland" "fr" "8"
"Albania" "fr" "5"
"North Macedonia" "fr" ""
"Bulgaria" "fr" "6"
"Sweden" "fr" "1"
"Switzerland" "fr" "7"
"Malta" "fr" ""
"Cyprus" "fr" ""
"Lithuania" "fr" ""
"Belarus" "fr" ""
"Czech Republic" "fr" ""
"Hungary" "fr" ""
"Ukraine" "ge" "12"
"Portugal" "ge" "7"
"Denmark" "ge" "3"
"Croatia" "ge" "8"
"Georgia" "ge" ""
"Latvia" "ge" "6"
"Turkey" "ge" "5"
"Iceland" "ge" ""
"Albania" "ge" ""
"North Macedonia" "ge" ""
"Bulgaria" "ge" ""
"Sweden" "ge" ""
"Switzerland" "ge" ""
"Malta" "ge" ""
"Cyprus" "ge" "2"
"Lithuania" "ge" "10"
"Belarus" "ge" "4"
"Czech Republic" "ge" ""
"Hungary" "ge" "1"
"Ukraine" "hu" "8"
"Portugal" "hu" "6"
"Denmark" "hu" "12"
"Croatia" "hu" "10"
"Georgia" "hu" "2"
"Latvia" "hu" ""
"Turkey" "hu" "4"
"Iceland" "hu" "7"
"Albania" "hu" ""
"North Macedonia" "hu" ""
"Bulgaria" "hu" "3"
"Sweden" "hu" "1"
"Switzerland" "hu" ""
"Malta" "hu" ""
"Cyprus" "hu" "5"
"Lithuania" "hu" ""
"Belarus" "hu" ""
"Czech Republic" "hu" ""
"Hungary" "hu" ""
"Ukraine" "is" "6"
"Portugal" "is" "10"
"Denmark" "is" "12"
"Croatia" "is" "4"
"Georgia" "is" "2"
"Latvia" "is" "7"
"Turkey" "is" ""
"Iceland" "is" ""
"Albania" "is" "1"
"North Macedonia" "is" ""
"Bulgaria" "is" "5"
"Sweden" "is" "8"
"Switzerland" "is" ""
"Malta" "is" "3"
"Cyprus" "is" ""
"Lithuania" "is" ""
"Belarus" "is" ""
"Czech Republic" "is" ""
"Hungary" "is" ""
"Ukraine" "lv" "6"
"Portugal" "lv" "3"
"Denmark" "lv" "8"
"Croatia" "lv" "7"
"Georgia" "lv" "10"
"Latvia" "lv" ""
"Turkey" "lv" ""
"Iceland" "lv" "2"
"Albania" "lv" ""
"North Macedonia" "lv" ""
"Bulgaria" "lv" "1"
"Sweden" "lv" ""
"Switzerland" "lv" ""
"Malta" "lv" "4"
"Cyprus" "lv" ""
"Lithuania" "lv" "12"
"Belarus" "lv" "5"
"Czech Republic" "lv" ""
"Hungary" "lv" ""
"Ukraine" "lt" "7"
"Portugal" "lt" "4"
"Denmark" "lt" "8"
"Croatia" "lt" "5"
"Georgia" "lt" "10"
"Latvia" "lt" "12"
"Turkey" "lt" ""
"Iceland" "lt" "2"
"Albania" "lt" ""
"North Macedonia" "lt" ""
"Bulgaria" "lt" "1"
"Sweden" "lt" "3"
"Switzerland" "lt" ""
"Malta" "lt" ""
"Cyprus" "lt" ""
"Lithuania" "lt" ""
"Belarus" "lt" "6"
"Czech Republic" "lt" ""
"Hungary" "lt" ""
"Ukraine" "mt" "8"
"Portugal" "mt" "3"
"Denmark" "mt" "4"
"Croatia" "mt" ""
"Georgia" "mt" "10"
"Latvia" "mt" "6"
"Turkey" "mt" ""
"Iceland" "mt" "5"
"Albania" "mt" ""
"North Macedonia" "mt" ""
"Bulgaria" "mt" "2"
"Sweden" "mt" "7"
"Switzerland" "mt" "12"
"Malta" "mt" ""
"Cyprus" "mt" ""
"Lithuania" "mt" ""
"Belarus" "mt" ""
"Czech Republic" "mt" "1"
"Hungary" "mt" ""
"Ukraine" "mk" "6"
"Portugal" "mk" ""
"Denmark" "mk" "3"
"Croatia" "mk" "10"
"Georgia" "mk" "2"
"Latvia" "mk" "4"
"Turkey" "mk" "8"
"Iceland" "mk" ""
"Albania" "mk" "12"
"North Macedonia" "mk" ""
"Bulgaria" "mk" "7"
"Sweden" "mk" ""
"Switzerland" "mk" "1"
"Malta" "mk" ""
"Cyprus" "mk" ""
"Lithuania" "mk" ""
"Belarus" "mk" ""
"Czech Republic" "mk" "5"
"Hungary" "mk" ""
"Ukraine" "pt" "12"
"Portugal" "pt" ""
"Denmark" "pt" "8"
"Croatia" "pt" "6"
"Georgia" "pt" "7"
"Latvia" "pt" "10"
"Turkey" "pt" ""
"Iceland" "pt" "5"
"Albania" "pt" "2"
"North Macedonia" "pt" ""
"Bulgaria" "pt" "1"
"Sweden" "pt" "3"
"Switzerland" "pt" ""
"Malta" "pt" "4"
"Cyprus" "pt" ""
"Lithuania" "pt" ""
"Belarus" "pt" ""
