"Country" "Voter" "Points"
"Serbia" "al" "2"
"Hungary" "al" "5"
"Turkey" "al" "12"
"Belarus" "al" "4"
"Latvia" "al" ""
"Bulgaria" "al" "1"
"Slovenia" "al" ""
"Georgia" "al" ""
"North Macedonia" "al" "10"
"Moldova" "al" ""
"Portugal" "al" ""
"Andorra" "al" ""
"Iceland" "al" ""
"Poland" "al" ""
"Cyprus" "al" "8"
"Croatia" "al" "3"
"Albania" "al" ""
"Norway" "al" ""
"Denmark" "al" ""
"Switzerland" "al" ""
"Netherlands" "al" ""
"Montenegro" "al" "7"
"Estonia" "al" ""
"Israel" "al" ""
"Malta" "al" "6"
"Belgium" "al" ""
"Austria" "al" ""
"Czech Republic" "al" ""
"Serbia" "ad" ""
"Hungary" "ad" "4"
"Turkey" "ad" "7"
"Belarus" "ad" ""
"Latvia" "ad" ""
"Bulgaria" "ad" ""
"Slovenia" "ad" "8"
"Georgia" "ad" ""
"North Macedonia" "ad" ""
"Moldova" "ad" ""
"Portugal" "ad" "12"
"Andorra" "ad" ""
"Iceland" "ad" ""
"Poland" "ad" "10"
"Cyprus" "ad" ""
"Croatia" "ad" ""
"Albania" "ad" ""
"Norway" "ad" "3"
"Denmark" "ad" "2"
"Switzerland" "ad" "6"
"Netherlands" "ad" "5"
"Montenegro" "ad" ""
"Estonia" "ad" ""
"Israel" "ad" ""
"Malta" "ad" ""
"Belgium" "ad" ""
"Austria" "ad" "1"
"Czech Republic" "ad" ""
"Serbia" "am" "10"
"Hungary" "am" ""
"Turkey" "am" "2"
"Belarus" "am" "12"
"Latvia" "am" ""
"Bulgaria" "am" "1"
"Slovenia" "am" ""
"Georgia" "am" "8"
"North Macedonia" "am" ""
"Moldova" "am" "7"
"Portugal" "am" "6"
"Andorra" "am" ""
"Iceland" "am" ""
"Poland" "am" "5"
"Cyprus" "am" "4"
"Croatia" "am" ""
"Albania" "am" ""
"Norway" "am" "3"
"Denmark" "am" ""
"Switzerland" "am" ""
"Netherlands" "am" ""
"Montenegro" "am" ""
"Estonia" "am" ""
"Israel" "am" ""
"Malta" "am" ""
"Belgium" "am" ""
"Austria" "am" ""
"Czech Republic" "am" ""
"Serbia" "at" "12"
"Hungary" "at" "8"
"Turkey" "at" "10"
"Belarus" "at" ""
"Latvia" "at" "1"
"Bulgaria" "at" "6"
"Slovenia" "at" "2"
"Georgia" "at" ""
"North Macedonia" "at" "5"
"Moldova" "at" ""
"Portugal" "at" ""
"Andorra" "at" ""
"Iceland" "at" ""
"Poland" "at" "4"
"Cyprus" "at" ""
"Croatia" "at" "7"
"Albania" "at" "3"
"Norway" "at" ""
"Denmark" "at" ""
"Switzerland" "at" ""
"Netherlands" "at" ""
