"Country" "Voter" "Points"
"Ukraine" "al" "6"
"Australia" "al" "24"
"Russia" "al" "14"
"Bulgaria" "al" "12"
"Sweden" "al" "3"
"France" "al" "10"
"Armenia" "al" "2"
"Poland" "al" "5"
"Lithuania" "al" "4"
"Belgium" "al" ""
"Netherlands" "al" ""
"Malta" "al" "2"
"Austria" "al" ""
"Israel" "al" "3"
"Latvia" "al" ""
"Italy" "al" "18"
"Azerbaijan" "al" ""
"Serbia" "al" ""
"Hungary" "al" "2"
"Georgia" "al" ""
"Cyprus" "al" ""
"Spain" "al" "6"
"Croatia" "al" ""
"United Kingdom" "al" "5"
"Czech Republic" "al" ""
"Germany" "al" ""
"Ukraine" "am" "10"
"Australia" "am" "5"
"Russia" "am" "14"
"Bulgaria" "am" "7"
"Sweden" "am" "2"
"France" "am" "19"
"Armenia" "am" ""
"Poland" "am" "1"
"Lithuania" "am" ""
"Belgium" "am" "4"
"Netherlands" "am" ""
"Malta" "am" "13"
"Austria" "am" "4"
"Israel" "am" ""
"Latvia" "am" ""
"Italy" "am" ""
"Azerbaijan" "am" ""
"Serbia" "am" ""
"Hungary" "am" "3"
"Georgia" "am" "18"
"Cyprus" "am" "12"
"Spain" "am" "3"
"Croatia" "am" ""
"United Kingdom" "am" ""
"Czech Republic" "am" "1"
"Germany" "am" ""
"Ukraine" "au" "10"
"Australia" "au" ""
"Russia" "au" "5"
"Bulgaria" "au" "18"
"Sweden" "au" ""
"France" "au" "13"
"Armenia" "au" ""
"Poland" "au" ""
"Lithuania" "au" "8"
"Belgium" "au" "24"
"Netherlands" "au" "3"
"Malta" "au" "6"
"Austria" "au" "3"
"Israel" "au" "10"
"Latvia" "au" ""
"Italy" "au" ""
"Azerbaijan" "au" ""
"Serbia" "au" ""
"Hungary" "au" ""
"Georgia" "au" ""
"Cyprus" "au" ""
"Spain" "au" "7"
"Croatia" "au" "1"
"United Kingdom" "au" "8"
"Czech Republic" "au" ""
"Germany" "au" ""
"Ukraine" "at" "10"
"Australia" "at" "15"
"Russia" "at" "11"
"Bulgaria" "at" "5"
"Sweden" "at" "15"
"France" "at" "8"
"Armenia" "at" "2"
"Poland" "at" "12"
"Lithuania" "at" "1"
"Belgium" "at" "5"
"Netherlands" "at" "6"
"Malta" "at" "10"
"Austria" "at" ""
"Israel" "at" ""
"Latvia" "at" ""
"Italy" "at" ""
"Azerbaijan" "at" ""
"Serbia" "at" "4"
"Hungary" "at" ""
"Georgia" "at" ""
"Cyprus" "at" ""
"Spain" "at" ""
"Croatia" "at" "6"
"United Kingdom" "at" ""
"Czech Republic" "at" "4"
"Germany" "at" "2"
"Ukraine" "az" "20"
"Australia" "az" "9"
"Russia" "az" "24"
"Bulgaria" "az" "16"
"Sweden" "az" ""
"France" "az" "4"
"Armenia" "az" ""
"Poland" "az" "5"
"Lithuania" "az" "5"
"Belgium" "az" ""
"Netherlands" "az" ""
"Malta" "az" "11"
"Austria" "az" ""
"Israel" "az" "9"
"Latvia" "az" ""
"Italy" "az" ""
"Azerbaijan" "az" ""
"Serbia" "az" ""
"Hungary" "az" "11"
"Georgia" "az" "1"
"Cyprus" "az" ""
"Spain" "az" "1"
"Croatia" "az" ""
"United Kingdom" "az" ""
"Czech Republic" "az" ""
"Germany" "az" ""
"Ukraine" "by" "17"
"Australia" "by" "7"
"Russia" "by" "24"
"Bulgaria" "by" "5"
"Sweden" "by" "10"
"France" "by" ""
"Armenia" "by" "10"
"Poland" "by" "6"
"Lithuania" "by" "10"
"Belgium" "by" "4"
"Netherlands" "by" ""
"Malta" "by" "5"
"Austria" "by" ""
"Israel" "by" ""
"Latvia" "by" "5"
"Italy" "by" ""
"Azerbaijan" "by" "10"
"Serbia" "by" ""
"Hungary" "by" "3"
"Georgia" "by" ""
"Cyprus" "by" ""
"Spain" "by" ""
"Croatia" "by" ""
"United Kingdom" "by" ""
"Czech Republic" "by" ""
"Germany" "by" ""
"Ukraine" "be" "5"
"Australia" "be" "16"
"Russia" "be" "6"
"Bulgaria" "be" "11"
"Sweden" "be" "1"
"France" "be" "16"
"Armenia" "be" "7"
"Poland" "be" "12"
"Lithuania" "be" ""
"Belgium" "be" ""
"Netherlands" "be" "14"
"Malta" "be" ""
"Austria" "be" "8"
"Israel" "be" "2"
"Latvia" "be" ""
"Italy" "be" "10"
"Azerbaijan" "be" ""
"Serbia" "be" ""
"Hungary" "be" ""
"Georgia" "be" "7"
"Cyprus" "be" ""
"Spain" "be" ""
"Croatia" "be" ""
"United Kingdom" "be" ""
"Czech Republic" "be" "1"
"Germany" "be" ""
"Ukraine" "ba" "19"
"Australia" "ba" "13"
"Russia" "ba" "11"
"Bulgaria" "ba" "5"
"Sweden" "ba" ""
"France" "ba" "11"
"Armenia" "ba" "2"
"Poland" "ba" ""
"Lithuania" "ba" ""
"Belgium" "ba" ""
"Netherlands" "ba" ""
"Malta" "ba" ""
"Austria" "ba" "5"
"Israel" "ba" ""
"Latvia" "ba" ""
"Italy" "ba" ""
"Azerbaijan" "ba" "9"
"Serbia" "ba" "20"
"Hungary" "ba" "1"
"Georgia" "ba" ""
"Cyprus" "ba" ""
"Spain" "ba" ""
"Croatia" "ba" "14"
"United Kingdom" "ba" ""
"Czech Republic" "ba" "6"
"Germany" "ba" ""
"Ukraine" "bg" "10"
"Australia" "bg" "13"
"Russia" "bg" "18"
"Bulgaria" "bg" ""
"Sweden" "bg" "3"
"France" "bg" ""
"Armenia" "bg" "20"
"Poland" "bg" "6"
"Lithuania" "bg" "1"
"Belgium" "bg" "10"
"Netherlands" "bg" "2"
"Malta" "bg" "7"
"Austria" "bg" "4"
"Israel" "bg" "2"
"Latvia" "bg" ""
"Italy" "bg" ""
"Azerbaijan" "bg" "1"
"Serbia" "bg" "5"
"Hungary" "bg" ""
"Georgia" "bg" "3"
"Cyprus" "bg" "7"
"Spain" "bg" "4"
"Croatia" "bg" ""
"United Kingdom" "bg" ""
"Czech Republic" "bg" ""
"Germany" "bg" ""
"Ukraine" "hr" "10"
"Australia" "hr" "17"
"Russia" "hr" "14"
"Bulgaria" "hr" "1"
"Sweden" "hr" "7"
"France" "hr" "10"
"Armenia" "hr" "4"
"Poland" "hr" "4"
"Lithuania" "hr" ""
"Belgium" "hr" ""
"Netherlands" "hr" ""
"Malta" "hr" ""
"Austria" "hr" "6"
"Israel" "hr" "7"
"Latvia" "hr" ""
"Italy" "hr" "3"
"Azerbaijan" "hr" ""
"Serbia" "hr" "14"
"Hungary" "hr" "8"
"Georgia" "hr" ""
"Cyprus" "hr" "1"
"Spain" "hr" ""
"Croatia" "hr" ""
"United Kingdom" "hr" ""
"Czech Republic" "hr" "10"
"Germany" "hr" ""
"Ukraine" "cy" "7"
"Australia" "cy" "15"
"Russia" "cy" "22"
"Bulgaria" "cy" "12"
"Sweden" "cy" "1"
"France" "cy" "13"
"Armenia" "cy" "16"
"Poland" "cy" "2"
"Lithuania" "cy" "3"
"Belgium" "cy" ""
"Netherlands" "cy" ""
"Malta" "cy" "6"
"Austria" "cy" ""
"Israel" "cy" "5"
"Latvia" "cy" ""
"Italy" "cy" "3"
"Azerbaijan" "cy" "2"
"Serbia" "cy" ""
"Hungary" "cy" "8"
"Georgia" "cy" ""
"Cyprus" "cy" ""
"Spain" "cy" ""
"Croatia" "cy" "1"
"United Kingdom" "cy" ""
"Czech Republic" "cy" ""
"Germany" "cy" ""
"Ukraine" "cz" "12"
"Australia" "cz" "1"
"Russia" "cz" "10"
"Bulgaria" "cz" "5"
"Sweden" "cz" "14"
"France" "cz" "5"
"Armenia" "cz" "8"
"Poland" "cz" "7"
"Lithuania" "cz" "3"
