"Country" "Voter" "Points"
"Sweden" "al" "7"
"Russia" "al" "8"
"Italy" "al" "12"
"Belgium" "al" "1"
"Australia" "al" "3"
"Latvia" "al" ""
"Estonia" "al" "4"
"Norway" "al" ""
"Israel" "al" "5"
"Serbia" "al" "2"
"Georgia" "al" ""
"Azerbaijan" "al" ""
"Montenegro" "al" "6"
"Slovenia" "al" ""
"Romania" "al" ""
"Armenia" "al" ""
"Albania" "al" ""
"Lithuania" "al" ""
"Greece" "al" "10"
"Hungary" "al" ""
"Spain" "al" ""
"Cyprus" "al" ""
"Poland" "al" ""
"United Kingdom" "al" ""
"France" "al" ""
"Austria" "al" ""
"Germany" "al" ""
"Sweden" "am" "7"
"Russia" "am" "12"
"Italy" "am" "6"
"Belgium" "am" "4"
"Australia" "am" "1"
"Latvia" "am" "2"
"Estonia" "am" ""
"Norway" "am" ""
"Israel" "am" ""
"Serbia" "am" ""
"Georgia" "am" "10"
"Azerbaijan" "am" ""
"Montenegro" "am" "8"
"Slovenia" "am" ""
"Romania" "am" ""
"Armenia" "am" ""
"Albania" "am" ""
"Lithuania" "am" ""
"Greece" "am" "5"
"Hungary" "am" ""
"Spain" "am" ""
"Cyprus" "am" ""
"Poland" "am" ""
"United Kingdom" "am" ""
"France" "am" "3"
"Austria" "am" ""
"Germany" "am" ""
"Sweden" "au" "12"
"Russia" "au" "10"
"Italy" "au" "8"
"Belgium" "au" "6"
"Australia" "au" ""
"Latvia" "au" "7"
"Estonia" "au" "3"
"Norway" "au" "4"
"Israel" "au" "2"
"Serbia" "au" "5"
"Georgia" "au" "1"
"Azerbaijan" "au" ""
"Montenegro" "au" ""
"Slovenia" "au" ""
"Romania" "au" ""
"Armenia" "au" ""
"Albania" "au" ""
"Lithuania" "au" ""
"Greece" "au" ""
"Hungary" "au" ""
"Spain" "au" ""
"Cyprus" "au" ""
"Poland" "au" ""
"United Kingdom" "au" ""
"France" "au" ""
"Austria" "au" ""
"Germany" "au" ""
"Sweden" "at" "7"
"Russia" "at" "8"
"Italy" "at" "10"
"Belgium" "at" "5"
"Australia" "at" "12"
"Latvia" "at" "1"
"Estonia" "at" "6"
"Norway" "at" "4"
"Israel" "at" "2"
"Serbia" "at" "3"
"Georgia" "at" ""
"Azerbaijan" "at" ""
"Montenegro" "at" ""
"Slovenia" "at" ""
"Romania" "at" ""
"Armenia" "at" ""
"Albania" "at" ""
"Lithuania" "at" ""
"Greece" "at" ""
"Hungary" "at" ""
"Spain" "at" ""
"Cyprus" "at" ""
"Poland" "at" ""
"United Kingdom" "at" ""
"France" "at" ""
"Austria" "at" ""
"Germany" "at" ""
"Sweden" "az" "6"
"Russia" "az" "12"
"Italy" "az" "8"
"Belgium" "az" ""
"Australia" "az" ""
"Latvia" "az" "5"
"Estonia" "az" "4"
"Norway" "az" ""
"Israel" "az" "7"
"Serbia" "az" ""
"Georgia" "az" "10"
"Azerbaijan" "az" ""
"Montenegro" "az" "2"
"Slovenia" "az" "3"
"Romania" "az" ""
"Armenia" "az" ""
"Albania" "az" ""
"Lithuania" "az" ""
"Greece" "az" ""
"Hungary" "az" ""
"Spain" "az" "1"
"Cyprus" "az" ""
"Poland" "az" ""
"United Kingdom" "az" ""
"France" "az" ""
"Austria" "az" ""
