"Country" "Voter" "Points"
"Sweden" "al" "5"
"Russia" "al" "3"
"Serbia" "al" "1"
"Azerbaijan" "al" "4"
"Albania" "al" ""
"Estonia" "al" ""
"Turkey" "al" "10"
"Germany" "al" "2"
"Italy" "al" "7"
"Spain" "al" ""
"Moldova" "al" ""
"Romania" "al" ""
"North Macedonia" "al" "8"
"Lithuania" "al" ""
"Ukraine" "al" ""
"Cyprus" "al" "6"
"Greece" "al" "12"
"Bosnia & Herzegovina" "al" ""
"Ireland" "al" ""
"Iceland" "al" ""
"Malta" "al" ""
"France" "al" ""
"Denmark" "al" ""
"Hungary" "al" ""
"United Kingdom" "al" ""
"Norway" "al" ""
"Sweden" "at" "12"
"Russia" "at" "5"
"Serbia" "at" "10"
"Azerbaijan" "at" ""
"Albania" "at" "8"
"Estonia" "at" ""
"Turkey" "at" "3"
"Germany" "at" "4"
"Italy" "at" ""
"Spain" "at" "6"
"Moldova" "at" "1"
"Romania" "at" ""
"North Macedonia" "at" ""
"Lithuania" "at" ""
"Ukraine" "at" ""
"Cyprus" "at" ""
"Greece" "at" ""
"Bosnia & Herzegovina" "at" "7"
"Ireland" "at" ""
"Iceland" "at" ""
"Malta" "at" ""
"France" "at" "2"
"Denmark" "at" ""
"Hungary" "at" ""
"United Kingdom" "at" ""
"Norway" "at" ""
"Sweden" "az" "7"
"Russia" "az" "10"
"Serbia" "az" ""
"Azerbaijan" "az" ""
"Albania" "az" ""
"Estonia" "az" ""
"Turkey" "az" "12"
"Germany" "az" ""
"Italy" "az" ""
"Spain" "az" ""
"Moldova" "az" ""
"Romania" "az" "6"
"North Macedonia" "az" ""
"Lithuania" "az" "4"
"Ukraine" "az" "3"
"Cyprus" "az" "2"
"Greece" "az" "5"
"Bosnia & Herzegovina" "az" ""
"Ireland" "az" "1"
"Iceland" "az" ""
"Malta" "az" "8"
"France" "az" ""
"Denmark" "az" ""
"Hungary" "az" ""
"United Kingdom" "az" ""
"Norway" "az" ""
"Sweden" "by" "6"
"Russia" "by" "12"
"Serbia" "by" ""
"Azerbaijan" "by" "7"
"Albania" "by" ""
"Estonia" "by" "4"
"Turkey" "by" ""
"Germany" "by" ""
"Italy" "by" ""
"Spain" "by" ""
"Moldova" "by" "5"
"Romania" "by" ""
"North Macedonia" "by" "2"
"Lithuania" "by" "8"
"Ukraine" "by" "10"
"Cyprus" "by" ""
"Greece" "by" ""
"Bosnia & Herzegovina" "by" ""
"Ireland" "by" "1"
"Iceland" "by" ""
"Malta" "by" "3"
"France" "by" ""
"Denmark" "by" ""
"Hungary" "by" ""
"United Kingdom" "by" ""
"Norway" "by" ""
"Sweden" "be" "12"
"Russia" "be" "8"
"Serbia" "be" "5"
"Azerbaijan" "be" ""
"Albania" "be" "10"
"Estonia" "be" ""
"Turkey" "be" "7"
"Germany" "be" ""
"Italy" "be" ""
"Spain" "be" "6"
"Moldova" "be" ""
"Romania" "be" "3"
"North Macedonia" "be" ""
"Lithuania" "be" ""
"Ukraine" "be" ""
"Cyprus" "be" ""
"Greece" "be" "2"
"Bosnia & Herzegovina" "be" ""
"Ireland" "be" "4"
"Iceland" "be" ""
"Malta" "be" ""
"France" "be" ""
"Denmark" "be" ""
"Hungary" "be" ""
"United Kingdom" "be" "1"
"Norway" "be" ""
"Sweden" "ba" "8"
"Russia" "ba" "3"
"Serbia" "ba" "10"
"Azerbaijan" "ba" "7"
"Albania" "ba" "6"
"Estonia" "ba" ""
"Turkey" "ba" "4"
"Germany" "ba" ""
"Italy" "ba" ""
"Spain" "ba" "5"
"Moldova" "ba" ""
"Romania" "ba" ""
"North Macedonia" "ba" "12"
"Lithuania" "ba" ""
"Ukraine" "ba" ""
"Cyprus" "ba" ""
"Greece" "ba" "1"
