"Country" "Voter" "Points"
"Azerbaijan" "al" "8"
"Greece" "al" "10"
"Norway" "al" ""
"Malta" "al" "6"
"Romania" "al" "5"
"Iceland" "al" ""
"Armenia" "al" ""
"Hungary" "al" "7"
"Finland" "al" "1"
"Georgia" "al" ""
"San Marino" "al" ""
"Bulgaria" "al" "4"
"Switzerland" "al" "2"
"Israel" "al" "3"
"Albania" "al" ""
"North Macedonia" "al" "12"
"Latvia" "al" ""
"Azerbaijan" "am" ""
"Greece" "am" "8"
"Norway" "am" "5"
"Malta" "am" "7"
"Romania" "am" "3"
"Iceland" "am" "1"
"Armenia" "am" ""
"Hungary" "am" ""
"Finland" "am" ""
"Georgia" "am" "12"
"San Marino" "am" "4"
"Bulgaria" "am" "10"
"Switzerland" "am" "2"
"Israel" "am" "6"
"Albania" "am" ""
"North Macedonia" "am" ""
"Latvia" "am" ""
"Azerbaijan" "az" ""
"Greece" "az" "7"
"Norway" "az" "5"
"Malta" "az" "12"
"Romania" "az" "8"
"Iceland" "az" ""
"Armenia" "az" ""
"Hungary" "az" ""
"Finland" "az" "3"
"Georgia" "az" "10"
"San Marino" "az" "1"
"Bulgaria" "az" "4"
"Switzerland" "az" ""
"Israel" "az" "6"
"Albania" "az" "2"
"North Macedonia" "az" ""
"Latvia" "az" ""
"Azerbaijan" "bg" "12"
"Greece" "bg" "10"
"Norway" "bg" "7"
"Malta" "bg" ""
"Romania" "bg" "2"
"Iceland" "bg" ""
"Armenia" "bg" "8"
"Hungary" "bg" "6"
"Finland" "bg" ""
"Georgia" "bg" "3"
"San Marino" "bg" ""
"Bulgaria" "bg" ""
"Switzerland" "bg" "1"
"Israel" "bg" "4"
"Albania" "bg" ""
"North Macedonia" "bg" "5"
"Latvia" "bg" ""
"Azerbaijan" "fi" "3"
"Greece" "fi" "7"
"Norway" "fi" "10"
"Malta" "fi" "5"
"Romania" "fi" "4"
"Iceland" "fi" "12"
"Armenia" "fi" ""
"Hungary" "fi" "8"
"Finland" "fi" ""
"Georgia" "fi" ""
"San Marino" "fi" "1"
"Bulgaria" "fi" ""
"Switzerland" "fi" "6"
"Israel" "fi" "2"
"Albania" "fi" ""
"North Macedonia" "fi" ""
"Latvia" "fi" ""
"Azerbaijan" "fr" "8"
"Greece" "fr" ""
"Norway" "fr" ""
"Malta" "fr" "2"
"Romania" "fr" "6"
"Iceland" "fr" ""
"Armenia" "fr" "12"
"Hungary" "fr" "3"
"Finland" "fr" "7"
"Georgia" "fr" ""
"San Marino" "fr" "5"
"Bulgaria" "fr" "1"
"Switzerland" "fr" "10"
"Israel" "fr" "4"
"Albania" "fr" ""
"North Macedonia" "fr" ""
"Latvia" "fr" ""
"Azerbaijan" "ge" "12"
"Greece" "ge" "2"
"Norway" "ge" "8"
"Malta" "ge" "6"
"Romania" "ge" ""
"Iceland" "ge" ""
"Armenia" "ge" "10"
"Hungary" "ge" "3"
"Finland" "ge" ""
"Georgia" "ge" ""
"San Marino" "ge" "1"
"Bulgaria" "ge" "4"
"Switzerland" "ge" ""
"Israel" "ge" "5"
"Albania" "ge" ""
"North Macedonia" "ge" ""
"Latvia" "ge" "7"
"Azerbaijan" "de" ""
"Greece" "de" "8"
"Norway" "de" "2"
"Malta" "de" "5"
"Romania" "de" "7"
"Iceland" "de" "12"
"Armenia" "de" "6"
"Hungary" "de" "10"
"Finland" "de" "3"
"Georgia" "de" ""
"San Marino" "de" ""
"Bulgaria" "de" ""
"Switzerland" "de" "1"
"Israel" "de" "4"
"Albania" "de" ""
"North Macedonia" "de" ""
"Latvia" "de" ""
"Azerbaijan" "gr" "12"
"Greece" "gr" ""
"Norway" "gr" "4"
"Malta" "gr" "5"
"Romania" "gr" "10"
"Iceland" "gr" ""
"Armenia" "gr" "7"
"Hungary" "gr" ""
"Finland" "gr" ""
"Georgia" "gr" "6"
"San Marino" "gr" "1"
"Bulgaria" "gr" "2"
"Switzerland" "gr" "3"
"Israel" "gr" ""
"Albania" "gr" "8"
"North Macedonia" "gr" ""
"Latvia" "gr" ""
"Azerbaijan" "hu" "12"
"Greece" "hu" "3"
"Norway" "hu" "7"
"Malta" "hu" "8"
"Romania" "hu" ""
"Iceland" "hu" "10"
"Armenia" "hu" ""
"Hungary" "hu" ""
"Finland" "hu" "5"
"Georgia" "hu" "4"
"San Marino" "hu" "2"
"Bulgaria" "hu" "1"
"Switzerland" "hu" "6"
"Israel" "hu" ""
"Albania" "hu" ""
"North Macedonia" "hu" ""
"Latvia" "hu" ""
"Azerbaijan" "is" "8"
"Greece" "is" "2"
"Norway" "is" "12"
"Malta" "is" "6"
"Romania" "is" "10"
"Iceland" "is" ""
"Armenia" "is" ""
"Hungary" "is" ""
"Finland" "is" "7"
"Georgia" "is" "4"
"San Marino" "is" ""
"Bulgaria" "is" ""
"Switzerland" "is" "5"
"Israel" "is" "1"
"Albania" "is" ""
"North Macedonia" "is" ""
"Latvia" "is" "3"
"Azerbaijan" "il" "12"
"Greece" "il" "6"
"Norway" "il" "5"
"Malta" "il" "2"
"Romania" "il" "10"
"Iceland" "il" ""
"Armenia" "il" "8"
"Hungary" "il" "3"
"Finland" "il" "1"
"Georgia" "il" "7"
"San Marino" "il" "4"
"Bulgaria" "il" ""
"Switzerland" "il" ""
"Israel" "il" ""
"Albania" "il" ""
"North Macedonia" "il" ""
"Latvia" "il" ""
"Azerbaijan" "lv" "7"
"Greece" "lv" "5"
"Norway" "lv" "12"
"Malta" "lv" "6"
"Romania" "lv" ""
"Iceland" "lv" "10"
"Armenia" "lv" "1"
"Hungary" "lv" "2"
"Finland" "lv" "8"
"Georgia" "lv" "4"
"San Marino" "lv" "3"
"Bulgaria" "lv" ""
"Switzerland" "lv" ""
"Israel" "lv" ""
"Albania" "lv" ""
"North Macedonia" "lv" ""
"Latvia" "lv" ""
"Azerbaijan" "mt" "12"
"Greece" "mt" "7"
"Norway" "mt" "3"
"Malta" "mt" ""
"Romania" "mt" "10"
"Iceland" "mt" ""
"Armenia" "mt" "8"
"Hungary" "mt" ""
"Finland" "mt" "1"
"Georgia" "mt" "4"
"San Marino" "mt" "6"
"Bulgaria" "mt" ""
"Switzerland" "mt" "2"
"Israel" "mt" ""
"Albania" "mt" ""
"North Macedonia" "mt" "5"
"Latvia" "mt" ""
"Azerbaijan" "mk" "8"
"Greece" "mk" "6"
"Norway" "mk" "7"
"Malta" "mk" "12"
"Romania" "mk" "1"
"Iceland" "mk" ""
"Armenia" "mk" ""
"Hungary" "mk" ""
"Finland" "mk" ""
"Georgia" "mk" "4"
"San Marino" "mk" "5"
"Bulgaria" "mk" "3"
"Switzerland" "mk" ""
"Israel" "mk" ""
"Albania" "mk" "10"
"North Macedonia" "mk" ""
"Latvia" "mk" "2"
"Azerbaijan" "no" "5"
"Greece" "no" "7"
"Norway" "no" ""
"Malta" "no" "12"
"Romania" "no" "6"
"Iceland" "no" "10"
"Armenia" "no" "4"
"Hungary" "no" "2"
"Finland" "no" "8"
"Georgia" "no" ""
"San Marino" "no" ""
"Bulgaria" "no" "1"
"Switzerland" "no" "3"
"Israel" "no" ""
"Albania" "no" ""
"North Macedonia" "no" ""
"Latvia" "no" ""
"Azerbaijan" "ro" "12"
"Greece" "ro" "10"
"Norway" "ro" "8"
"Malta" "ro" "7"
"Romania" "ro" ""
