"Country" "Voter" "Points"
"Russia" "al" ""
"Albania" "al" ""
"Romania" "al" "5"
"Greece" "al" "8"
"Moldova" "al" "4"
"Ireland" "al" ""
"Cyprus" "al" "6"
"Iceland" "al" ""
"Denmark" "al" ""
"Hungary" "al" "7"
"Switzerland" "al" "3"
"Finland" "al" "1"
"Israel" "al" ""
"San Marino" "al" "10"
"Montenegro" "al" "12"
"Latvia" "al" ""
"Belgium" "al" "2"
"Austria" "al" ""
"Russia" "at" "10"
"Albania" "at" "12"
"Romania" "at" "5"
"Greece" "at" "1"
"Moldova" "at" "6"
"Ireland" "at" "8"
"Cyprus" "at" ""
"Iceland" "at" "2"
"Denmark" "at" ""
"Hungary" "at" "4"
"Switzerland" "at" "3"
"Finland" "at" ""
"Israel" "at" "7"
"San Marino" "at" ""
"Montenegro" "at" ""
"Latvia" "at" ""
"Belgium" "at" ""
"Austria" "at" ""
"Russia" "az" "8"
"Albania" "az" "12"
"Romania" "az" "7"
"Greece" "az" "10"
"Moldova" "az" "6"
"Ireland" "az" "4"
"Cyprus" "az" "1"
"Iceland" "az" ""
"Denmark" "az" ""
"Hungary" "az" "2"
"Switzerland" "az" ""
"Finland" "az" ""
"Israel" "az" ""
"San Marino" "az" "5"
"Montenegro" "az" ""
"Latvia" "az" "3"
"Belgium" "az" ""
"Austria" "az" ""
"Russia" "be" "12"
"Albania" "be" "10"
"Romania" "be" "4"
"Greece" "be" "8"
"Moldova" "be" ""
"Ireland" "be" "7"
"Cyprus" "be" "3"
"Iceland" "be" "5"
"Denmark" "be" ""
"Hungary" "be" "6"
"Switzerland" "be" ""
"Finland" "be" "1"
"Israel" "be" ""
"San Marino" "be" ""
"Montenegro" "be" ""
"Latvia" "be" ""
"Belgium" "be" ""
"Austria" "be" "2"
"Russia" "cy" "7"
"Albania" "cy" "10"
"Romania" "cy" "6"
"Greece" "cy" "12"
"Moldova" "cy" "3"
"Ireland" "cy" ""
"Cyprus" "cy" ""
"Iceland" "cy" "8"
"Denmark" "cy" "4"
"Hungary" "cy" "5"
"Switzerland" "cy" "2"
"Finland" "cy" ""
"Israel" "cy" "1"
"San Marino" "cy" ""
"Montenegro" "cy" ""
"Latvia" "cy" ""
"Belgium" "cy" ""
"Austria" "cy" ""
"Russia" "dk" "12"
"Albania" "dk" "7"
"Romania" "dk" "1"
"Greece" "dk" "4"
"Moldova" "dk" "6"
"Ireland" "dk" "2"
"Cyprus" "dk" ""
"Iceland" "dk" "10"
"Denmark" "dk" ""
"Hungary" "dk" "5"
"Switzerland" "dk" ""
"Finland" "dk" "8"
"Israel" "dk" "3"
"San Marino" "dk" ""
